method,baseline,n_seeds,wins,ties,losses,median_final,median_baseline,p_wilcoxon
BASS-BO,Random,25,17,3,5,0.14924997091293335,0.15474998950958252,0.025063340431846246
GP-BO,Random,25,16,2,7,0.14924997091293335,0.15474998950958252,0.024387637577397904
TPE,Random,25,12,2,11,0.1549999713897705,0.15474998950958252,0.9636027787259401
