method,baseline,n_seeds,wins,ties,losses,median_final,median_baseline,p_wilcoxon
BASS-BO,Random,25,23,1,1,4.440892098500626e-16,15.885323447732333,4.009690828468801e-5
GP-BO,Random,25,22,3,0,4.440892098500626e-16,15.885323447732333,4.212015429349105e-5
TPE,Random,25,17,1,7,13.368424336011483,15.885323447732333,0.016978348509826238
