method,iter,mean_best,sd_best,n,se,ci_low,ci_high
BASS-BO,0,18.623250180030098,1.5549653898190503,25,0.31099307796381004,18.01370374722103,19.232796612839167
BASS-BO,1,18.059661766673607,1.9550055231889056,25,0.39100110463778115,17.293299601583556,18.826023931763658
BASS-BO,2,17.637278238671385,2.1577186830574435,25,0.4315437366114887,16.791452514912866,18.483103962429904
BASS-BO,3,17.518830410189196,2.0983905794866837,25,0.4196781158973367,16.696261303030415,18.341399517347977
BASS-BO,4,16.828077383301128,3.9841478711949674,25,0.7968295742389935,15.2662914177927,18.389863348809556
BASS-BO,5,16.722087193808427,3.9904422663839734,25,0.7980884532767947,15.157833825385909,18.286340562230944
BASS-BO,6,16.28549261756054,4.036046276695675,25,0.807209255339135,14.703362477095835,17.867622758025245
BASS-BO,7,15.839413344440711,3.8679863007178756,25,0.7735972601435751,14.323162714559304,17.35566397432212
BASS-BO,8,15.450499637915303,3.772661845957399,25,0.7545323691914798,13.971616194300003,16.929383081530602
BASS-BO,9,14.17515753139603,5.618680057402947,25,1.1237360114805894,11.972634948894076,16.377680113897984
BASS-BO,10,13.958756824698778,5.475517918831323,25,1.0951035837662646,11.812353800516899,16.105159848880657
BASS-BO,11,13.78184352726332,5.414010125197975,25,1.0828020250395949,11.659551558185713,15.904135496340926
BASS-BO,12,13.037392319700656,5.972983264201925,25,1.194596652840385,10.695982880133501,15.37880175926781
BASS-BO,13,12.301303417322528,6.4438367946141435,25,1.2887673589228288,9.775319393833783,14.827287440811272
BASS-BO,14,12.301303417322528,6.4438367946141435,25,1.2887673589228288,9.775319393833783,14.827287440811272
BASS-BO,15,12.301303417322528,6.4438367946141435,25,1.2887673589228288,9.775319393833783,14.827287440811272
BASS-BO,16,12.195313227829825,6.369745504648744,25,1.2739491009297488,9.698372990007517,14.692253465652133
BASS-BO,17,12.142318133083474,6.331681757082227,25,1.2663363514164454,9.660298884307242,14.624337381859707
BASS-BO,18,12.142318133083474,6.331681757082227,25,1.2663363514164454,9.660298884307242,14.624337381859707
BASS-BO,19,12.041642168614642,6.289556520339406,25,1.2579113040678813,9.576136012641594,14.507148324587689
BASS-BO,20,11.940966204145807,6.2454569596620715,25,1.2490913919324143,9.492747075958276,14.389185332333339
BASS-BO,21,11.940966204145807,6.2454569596620715,25,1.2490913919324143,9.492747075958276,14.389185332333339
BASS-BO,22,11.840290239676973,6.199340941609058,25,1.2398681883218114,9.410148590566223,14.270431888787723
BASS-BO,23,11.840290239676973,6.199340941609057,25,1.2398681883218114,9.410148590566223,14.270431888787723
BASS-BO,24,11.840290239676973,6.199340941609057,25,1.2398681883218114,9.410148590566223,14.270431888787723
BASS-BO,25,11.739614275208138,6.15116311346891,25,1.230232622693782,9.328358334728325,14.150870215687952
BASS-BO,26,11.686619180461788,6.107620782681094,25,1.2215241565362187,9.292431833650799,14.080806527272777
BASS-BO,27,11.686619180461788,6.107620782681094,25,1.2215241565362187,9.292431833650799,14.080806527272777
BASS-BO,28,11.585943215992955,6.056053166091369,25,1.2112106332182737,9.211970374885139,13.959916057100772
BASS-BO,29,11.585943215992955,6.056053166091369,25,1.2112106332182737,9.211970374885139,13.959916057100772
BASS-BO,30,11.585943215992955,6.056053166091369,25,1.2112106332182737,9.211970374885139,13.959916057100772
BASS-BO,31,10.516469269112036,6.812176714831324,25,1.3624353429662648,7.846095996898157,13.186842541325916
BASS-BO,32,10.229321308741271,6.5912279964539175,25,1.3182455992907836,7.645559934131335,12.813082683351208
BASS-BO,33,10.229321308741271,6.5912279964539175,25,1.3182455992907836,7.645559934131335,12.813082683351208
BASS-BO,34,9.694584335300812,6.862638377118086,25,1.372527675423617,7.004430091470523,12.3847385791311
BASS-BO,35,9.159847361860352,7.081780043994901,25,1.4163560087989802,6.383789584614352,11.935905139106353
BASS-BO,36,8.524434423951059,7.165355426361066,25,1.4330710852722133,5.715615096817521,11.333253751084596
BASS-BO,37,8.423758459482226,7.074731446811674,25,1.4149462893623348,5.6504637323320495,11.197053186632402
BASS-BO,38,8.423758459482226,7.074731446811674,25,1.4149462893623348,5.6504637323320495,11.197053186632402
BASS-BO,39,7.8890214860417665,7.189706751820686,25,1.4379413503641372,5.070656439328058,10.707386532755475
BASS-BO,40,7.889021486041766,7.189706751820685,25,1.437941350364137,5.070656439328057,10.707386532755475
BASS-BO,41,7.889021486041766,7.189706751820685,25,1.437941350364137,5.070656439328057,10.707386532755475
BASS-BO,42,7.889021486041766,7.189706751820685,25,1.437941350364137,5.070656439328057,10.707386532755475
BASS-BO,43,7.889021486041766,7.189706751820685,25,1.437941350364137,5.070656439328057,10.707386532755475
BASS-BO,44,7.889021486041766,7.189706751820685,25,1.437941350364137,5.070656439328057,10.707386532755475
BASS-BO,45,7.788345521572932,7.090001221016584,25,1.4180002442033168,5.009065042934431,10.567626000211433
BASS-BO,46,6.184134601251554,7.160832812886297,25,1.4321665625772595,3.3770881386001252,8.991181063902982
BASS-BO,47,5.649397627811095,7.100884771112832,25,1.4201769542225664,2.865850797534865,8.432944458087325
BASS-BO,48,5.114660654370636,6.997991611434644,25,1.3995983222869288,2.3714479426882553,7.857873366053016
BASS-BO,49,5.114660654370636,6.997991611434644,25,1.3995983222869288,2.3714479426882553,7.857873366053016
BASS-BO,50,5.013984689901802,6.853190634379592,25,1.3706381268759185,2.327533961225002,7.700435418578602
BASS-BO,51,4.479247716461342,6.693853258800599,25,1.3387706517601197,1.8552572390115074,7.103238193911176
BASS-BO,52,4.378571751992508,6.53213090853288,25,1.3064261817065759,1.8179764358476196,6.939167068137397
BASS-BO,53,4.378571751992508,6.53213090853288,25,1.3064261817065759,1.8179764358476196,6.939167068137397
BASS-BO,54,4.378571751992508,6.53213090853288,25,1.3064261817065759,1.8179764358476196,6.939167068137397
BASS-BO,55,4.378571751992508,6.53213090853288,25,1.3064261817065759,1.8179764358476196,6.939167068137397
BASS-BO,56,4.378571751992508,6.53213090853288,25,1.3064261817065759,1.8179764358476196,6.939167068137397
BASS-BO,57,4.378571751992508,6.53213090853288,25,1.3064261817065759,1.8179764358476196,6.939167068137397
BASS-BO,58,4.378571751992508,6.53213090853288,25,1.3064261817065759,1.8179764358476196,6.939167068137397
BASS-BO,59,4.378571751992508,6.53213090853288,25,1.3064261817065759,1.8179764358476196,6.939167068137397
BASS-BO,60,3.8438347785520492,6.308907298695835,25,1.261781459739167,1.3707431174632818,6.316926439640817
BASS-BO,61,3.7431588140832153,6.1261816442062385,25,1.2252363288412478,1.3416956095543697,6.144622018612061
BASS-BO,62,3.7431588140832153,6.1261816442062385,25,1.2252363288412478,1.3416956095543697,6.144622018612061
BASS-BO,63,3.7431588140832153,6.1261816442062385,25,1.2252363288412478,1.3416956095543697,6.144622018612061
BASS-BO,64,3.7431588140832153,6.1261816442062385,25,1.2252363288412478,1.3416956095543697,6.144622018612061
BASS-BO,65,3.7431588140832153,6.1261816442062385,25,1.2252363288412478,1.3416956095543697,6.144622018612061
BASS-BO,66,3.7431588140832153,6.1261816442062385,25,1.2252363288412478,1.3416956095543697,6.144622018612061
BASS-BO,67,3.7431588140832153,6.1261816442062385,25,1.2252363288412478,1.3416956095543697,6.144622018612061
BASS-BO,68,3.7431588140832153,6.1261816442062385,25,1.2252363288412478,1.3416956095543697,6.144622018612061
BASS-BO,69,3.7431588140832153,6.1261816442062385,25,1.2252363288412478,1.3416956095543697,6.144622018612061
BASS-BO,70,3.7431588140832153,6.1261816442062385,25,1.2252363288412478,1.3416956095543697,6.144622018612061
BASS-BO,71,3.7431588140832153,6.1261816442062385,25,1.2252363288412478,1.3416956095543697,6.144622018612061
BASS-BO,72,3.7431588140832153,6.1261816442062385,25,1.2252363288412478,1.3416956095543697,6.144622018612061
BASS-BO,73,3.7431588140832153,6.1261816442062385,25,1.2252363288412478,1.3416956095543697,6.144622018612061
BASS-BO,74,3.2084218406427563,5.8271610715043884,25,1.1654322143008777,0.9241747006130359,5.492668980672477
BASS-BO,75,3.2084218406427563,5.8271610715043884,25,1.1654322143008777,0.9241747006130359,5.492668980672477
BASS-BO,76,3.2084218406427563,5.8271610715043884,25,1.1654322143008777,0.9241747006130359,5.492668980672477
BASS-BO,77,3.2084218406427563,5.8271610715043884,25,1.1654322143008777,0.9241747006130359,5.492668980672477
BASS-BO,78,3.2084218406427563,5.8271610715043884,25,1.1654322143008777,0.9241747006130359,5.492668980672477
BASS-BO,79,3.2084218406427563,5.8271610715043884,25,1.1654322143008777,0.9241747006130359,5.492668980672477
BASS-BO,80,3.2084218406427563,5.8271610715043884,25,1.1654322143008777,0.9241747006130359,5.492668980672477
GP-BO,0,18.623250180030098,1.5549653898190503,25,0.31099307796381004,18.01370374722103,19.232796612839167
GP-BO,1,18.536961852539534,1.5097856177826887,25,0.30195712355653775,17.94512589036872,19.12879781471035
GP-BO,2,18.139289489424844,1.8494042016437522,25,0.36988084032875046,17.41432304238049,18.864255936469196
GP-BO,3,18.043488870533604,1.8449778596342052,25,0.36899557192684107,17.320257549556995,18.766720191510213
GP-BO,4,17.819838358708157,2.048949288082633,25,0.40978985761652664,17.016650237779764,18.62302647963655
GP-BO,5,17.670369024460495,2.0482967112205404,25,0.40965934224410805,16.867436713662045,18.473301335258945
GP-BO,6,16.75971129238405,3.989835884796069,25,0.7979671769592138,15.19569562554399,18.32372695922411
GP-BO,7,16.75971129238405,3.989835884796069,25,0.7979671769592138,15.19569562554399,18.32372695922411
GP-BO,8,16.73773770340317,3.974513944136113,25,0.7949027888272225,15.179728237301813,18.295747169504526
GP-BO,9,16.680140530805406,3.9393207507394914,25,0.7878641501478982,15.135926796515527,18.224354265095286
GP-BO,10,16.60107254312486,3.8889403233292206,25,0.7777880646658442,15.076607936379807,18.125537149869917
GP-BO,11,16.405587339798856,3.856334669557555,25,0.771266933911511,14.893904149332295,17.91727053026542
GP-BO,12,16.28099997548682,3.7632787830180248,25,0.752655756603605,14.805794692543756,17.756205258429887
GP-BO,13,16.28099997548682,3.7632787830180248,25,0.752655756603605,14.805794692543756,17.756205258429887
GP-BO,14,16.17196170583345,3.732311243294363,25,0.7464622486588726,14.70889569846206,17.635027713204842
GP-BO,15,16.148719467613176,3.7182707289034687,25,0.7436541457806938,14.691157341883017,17.606281593343336
GP-BO,16,16.115267628686894,3.704221135936519,25,0.7408442271873038,14.663212943399778,17.56732231397401
GP-BO,17,15.855586349874464,3.675054525504662,25,0.7350109051009324,14.414964975876638,17.296207723872293
GP-BO,18,15.69355298547474,3.617441474950608,25,0.7234882949901216,14.275515927294101,17.11159004365538
GP-BO,19,15.69355298547474,3.617441474950608,25,0.7234882949901216,14.275515927294101,17.11159004365538
GP-BO,20,15.088654809284453,4.7471180159963025,25,0.9494236031992604,13.227784547013902,16.949525071555
GP-BO,21,15.088654809284453,4.7471180159963025,25,0.9494236031992604,13.227784547013902,16.949525071555
GP-BO,22,15.035659714538102,4.729810683511625,25,0.945962136702325,13.181573926601546,16.88974550247466
GP-BO,23,14.982664619791752,4.711818942381465,25,0.9423637884762931,13.135631594378218,16.829697645205286
GP-BO,24,14.982664619791752,4.711818942381465,25,0.9423637884762931,13.135631594378218,16.829697645205286
GP-BO,25,14.982664619791752,4.711818942381465,25,0.9423637884762931,13.135631594378218,16.829697645205286
GP-BO,26,14.942907175807532,4.680241151980603,25,0.9360482303961206,13.108252644231136,16.777561707383928
GP-BO,27,14.741555246869865,4.689882302898174,25,0.9379764605796348,12.903121384133781,16.57998910960595
GP-BO,28,14.439527353463363,4.687444362132747,25,0.9374888724265494,12.602049163507326,16.2770055434194
GP-BO,29,14.353080419790732,4.637817835375189,25,0.9275635670750377,12.535055828323658,16.171105011257808
GP-BO,30,14.252404455321898,4.630482742292667,25,0.9260965484585334,12.437255220343172,16.067553690300624
GP-BO,31,13.85621822529776,4.467288158483124,25,0.8934576316966248,12.105041267172375,15.607395183423144
GP-BO,32,13.85621822529776,4.467288158483124,25,0.8934576316966248,12.105041267172375,15.607395183423144
GP-BO,33,13.722090421902646,4.417397455615742,25,0.8834794911231484,11.990470619301275,15.453710224504016
GP-BO,34,13.311024258842773,4.238755370852383,25,0.8477510741704766,11.649432153468638,14.972616364216908
GP-BO,35,12.776287285402313,5.005166545413571,25,1.0010333090827142,10.814261999600193,14.738312571204434
GP-BO,36,12.776287285402313,5.005166545413571,25,1.0010333090827142,10.814261999600193,14.738312571204434
GP-BO,37,12.241550311961854,5.616103747554792,25,1.1232207495109585,10.040037642920375,14.443062981003333
GP-BO,38,11.987203288277836,5.476969663584434,25,1.095393932716887,9.840231180152738,14.134175396402934
GP-BO,39,11.987203288277836,5.476969663584434,25,1.095393932716887,9.840231180152738,14.134175396402934
GP-BO,40,11.452466314837377,5.967165020002067,25,1.1934330040004135,9.113337626996566,13.791595002678187
GP-BO,41,11.452466314837377,5.967165020002067,25,1.1934330040004135,9.113337626996566,13.791595002678187
GP-BO,42,11.452466314837377,5.967165020002067,25,1.1934330040004135,9.113337626996566,13.791595002678187
GP-BO,43,11.351790350368542,5.910219548076489,25,1.1820439096152977,9.034984287522558,13.668596413214527
GP-BO,44,10.817053376928083,6.311313991927297,25,1.2622627983854593,8.343018292092584,13.291088461763582
GP-BO,45,10.817053376928083,6.311313991927297,25,1.2622627983854593,8.343018292092584,13.291088461763582
GP-BO,46,10.817053376928083,6.311313991927297,25,1.2622627983854593,8.343018292092584,13.291088461763582
GP-BO,47,10.817053376928083,6.311313991927297,25,1.2622627983854593,8.343018292092584,13.291088461763582
GP-BO,48,10.817053376928083,6.311313991927297,25,1.2622627983854593,8.343018292092584,13.291088461763582
GP-BO,49,10.229321308741273,6.591227996453918,25,1.3182455992907838,7.645559934131337,12.813082683351208
GP-BO,50,9.159847361860354,7.081780043994902,25,1.4163560087989804,6.383789584614353,11.935905139106357
GP-BO,51,9.159847361860354,7.081780043994902,25,1.4163560087989804,6.383789584614353,11.935905139106357
