method,baseline,n_seeds,wins,ties,losses,median_final,median_baseline,p_wilcoxon
GP-BO,Random,25,25,0,0,0.3979826348961879,0.8934343049168749,1.3070605478013068e-5
BASS-BO,Random,25,23,0,2,0.43647864920169077,0.8934343049168749,4.316511596137683e-5
