method,baseline,n_seeds,wins,ties,losses,median_final,median_baseline,p_wilcoxon
BASS-BO,Random,25,25,0,0,11.912462395827191,18.81640060080548,1.30588312467228e-5
GP-BO,Random,25,24,0,1,13.238353559021833,18.81640060080548,1.4762082417917108e-5
TPE,Random,25,22,0,3,16.936627793376505,18.81640060080548,9.559759062461871e-5
