method,iter,mean_best,sd_best,n,se,ci_low,ci_high
BASS-BO,0,17.848975599647012,5.473417852704078,25,1.0946835705408158,15.703395801387014,19.99455539790701
BASS-BO,1,15.143016112768617,7.783295958821494,25,1.556659191764299,12.09196409691059,18.194068128626643
BASS-BO,2,12.878690077724041,9.058113896800444,25,1.8116227793600888,9.327909430178266,16.429470725269816
BASS-BO,3,10.604326830263249,9.624630760259814,25,1.9249261520519627,6.8314715722414014,14.377182088285096
BASS-BO,4,8.985036989677486,9.567348419551504,25,1.9134696839103007,5.234636409213296,12.735437570141675
BASS-BO,5,8.257696432301639,9.530025015684043,25,1.9060050031368085,4.521926626153494,11.993466238449784
BASS-BO,6,5.34833420279825,8.77205344109122,25,1.754410688218244,1.9096892538904915,8.786979151706008
BASS-BO,7,5.266029839881216,8.635082145727397,25,1.7270164291454795,1.881077638756076,8.650982041006355
BASS-BO,8,4.456384919588334,8.105144920563642,25,1.6210289841127286,1.2791681107273862,7.633601728449282
BASS-BO,9,4.456384919588334,8.105144920563642,25,1.6210289841127286,1.2791681107273862,7.633601728449282
BASS-BO,10,3.00170380483664,7.031444679925479,25,1.4062889359850959,0.24537749030585232,5.758030119367428
BASS-BO,11,2.1820216721275423,6.030789309059123,25,1.2061578618118245,-0.18204773702363353,4.546091081278718
BASS-BO,12,2.1820216721275423,6.030789309059123,25,1.2061578618118245,-0.18204773702363353,4.546091081278718
BASS-BO,13,1.454681114751695,5.034787025305288,25,1.0069574050610577,-0.5189553991679781,3.428317628671368
BASS-BO,14,1.454681114751695,5.034787025305288,25,1.0069574050610577,-0.5189553991679781,3.428317628671368
BASS-BO,15,1.454681114751695,5.034787025305288,25,1.0069574050610577,-0.5189553991679781,3.428317628671368
BASS-BO,16,1.454681114751695,5.034787025305288,25,1.0069574050610577,-0.5189553991679781,3.428317628671368
BASS-BO,17,1.454681114751695,5.034787025305288,25,1.0069574050610577,-0.5189553991679781,3.428317628671368
BASS-BO,18,1.454681114751695,5.034787025305288,25,1.0069574050610577,-0.5189553991679781,3.428317628671368
BASS-BO,19,0.7273405573758477,3.636702786879236,25,0.7273405573758472,-0.6982469350808128,2.152928049832508
BASS-BO,20,0.7273405573758477,3.636702786879236,25,0.7273405573758472,-0.6982469350808128,2.152928049832508
BASS-BO,21,0.7273405573758477,3.636702786879236,25,0.7273405573758472,-0.6982469350808128,2.152928049832508
BASS-BO,22,0.7273405573758477,3.636702786879236,25,0.7273405573758472,-0.6982469350808128,2.152928049832508
BASS-BO,23,0.7273405573758477,3.636702786879236,25,0.7273405573758472,-0.6982469350808128,2.152928049832508
BASS-BO,24,0.7273405573758477,3.636702786879236,25,0.7273405573758472,-0.6982469350808128,2.152928049832508
BASS-BO,25,0.7273405573758477,3.636702786879236,25,0.7273405573758472,-0.6982469350808128,2.152928049832508
BASS-BO,26,0.7273405573758477,3.636702786879236,25,0.7273405573758472,-0.6982469350808128,2.152928049832508
BASS-BO,27,0.7273405573758477,3.636702786879236,25,0.7273405573758472,-0.6982469350808128,2.152928049832508
BASS-BO,28,0.7273405573758477,3.636702786879236,25,0.7273405573758472,-0.6982469350808128,2.152928049832508
BASS-BO,29,0.7273405573758477,3.636702786879236,25,0.7273405573758472,-0.6982469350808128,2.152928049832508
