method,baseline,n_seeds,wins,ties,losses,median_final,median_baseline,p_wilcoxon
BASS-BO,Random,25,8,17,0,4.440892098500626e-16,4.440892098500626e-16,0.00596207853209371
GP-BO,Random,25,8,17,0,4.440892098500626e-16,4.440892098500626e-16,0.00596207853209371
TPE,Random,25,8,12,5,4.440892098500626e-16,4.440892098500626e-16,0.428110661940859
