method,iter,mean_best,sd_best,n,se,ci_low,ci_high
BASS-BO,0,40.91688264714802,8.904845297793255,25,1.780969059558651,37.426183290413064,44.40758200388298
BASS-BO,1,40.91688264714802,8.904845297793255,25,1.780969059558651,37.426183290413064,44.40758200388298
BASS-BO,2,40.91688264714802,8.904845297793255,25,1.780969059558651,37.426183290413064,44.40758200388298
BASS-BO,3,40.91688264714802,8.904845297793255,25,1.780969059558651,37.426183290413064,44.40758200388298
BASS-BO,4,40.91688264714802,8.904845297793255,25,1.780969059558651,37.426183290413064,44.40758200388298
BASS-BO,5,40.91688264714802,8.904845297793255,25,1.780969059558651,37.426183290413064,44.40758200388298
BASS-BO,6,40.91688264714802,8.904845297793255,25,1.780969059558651,37.426183290413064,44.40758200388298
BASS-BO,7,40.91688264714802,8.904845297793255,25,1.780969059558651,37.426183290413064,44.40758200388298
BASS-BO,8,40.91688264714802,8.904845297793255,25,1.780969059558651,37.426183290413064,44.40758200388298
BASS-BO,9,40.91688264714802,8.904845297793255,25,1.780969059558651,37.426183290413064,44.40758200388298
BASS-BO,10,40.91688264714802,8.904845297793255,25,1.780969059558651,37.426183290413064,44.40758200388298
BASS-BO,11,40.91688264714802,8.904845297793255,25,1.780969059558651,37.426183290413064,44.40758200388298
BASS-BO,12,40.91688264714802,8.904845297793255,25,1.780969059558651,37.426183290413064,44.40758200388298
BASS-BO,13,40.05683039294209,9.34481765562939,25,1.8689635311258779,36.39366187193537,43.71999891394881
BASS-BO,14,38.50437816767737,10.44373313384713,25,2.088746626769426,34.4104347792093,42.59832155614545
BASS-BO,15,37.896235262565085,10.635187791752871,25,2.1270375583505743,33.72724164819796,42.06522887693221
BASS-BO,16,37.79812447385607,10.59274663448892,25,2.118549326897784,33.645767793136415,41.950481154575726
BASS-BO,17,37.054245237976886,9.60116472395358,25,1.920232944790716,33.290588666187084,40.81790180976669
BASS-BO,18,37.054245237976886,9.60116472395358,25,1.920232944790716,33.290588666187084,40.81790180976669
BASS-BO,19,36.74438470968093,9.33098574102677,25,1.866197148205354,33.086638299198434,40.402131120163425
BASS-BO,20,36.74438470968093,9.33098574102677,25,1.866197148205354,33.086638299198434,40.402131120163425
BASS-BO,21,36.26027451663725,9.387032859714191,25,1.877406571942838,32.58055763562929,39.939991397645215
BASS-BO,22,33.83205516326386,8.432796764804069,25,1.6865593529608138,30.526398831460664,37.13771149506705
BASS-BO,23,33.755583367594795,8.445253233137747,25,1.6890506466275492,30.4450441002048,37.066122634984794
BASS-BO,24,33.67275454961335,8.541702524812127,25,1.7083405049624254,30.324407159887,37.02110193933971
BASS-BO,25,33.540285417647766,8.327120263574212,25,1.6654240527148425,30.276054274326675,36.80451656096886
BASS-BO,26,33.47188479378444,8.248480781718861,25,1.6496961563437722,30.238480327350647,36.70528926021824
BASS-BO,27,33.47188479378444,8.248480781718861,25,1.6496961563437722,30.238480327350647,36.70528926021824
BASS-BO,28,33.47188479378444,8.248480781718861,25,1.6496961563437722,30.238480327350647,36.70528926021824
BASS-BO,29,33.47188479378444,8.248480781718861,25,1.6496961563437722,30.238480327350647,36.70528926021824
BASS-BO,30,33.45763343908786,8.259451154630176,25,1.651890230926035,30.21992858647283,36.69533829170289
BASS-BO,31,33.45763343908786,8.259451154630176,25,1.651890230926035,30.21992858647283,36.69533829170289
BASS-BO,32,33.45763343908786,8.259451154630176,25,1.651890230926035,30.21992858647283,36.69533829170289
BASS-BO,33,33.45763343908786,8.259451154630176,25,1.651890230926035,30.21992858647283,36.69533829170289
BASS-BO,34,33.06537088930619,8.07769414449241,25,1.615538828898482,29.898914784665163,36.23182699394721
BASS-BO,35,33.05778929285489,8.070886392521071,25,1.6141772785042143,29.89400182698663,36.22157675872315
BASS-BO,36,33.05778929285489,8.070886392521071,25,1.6141772785042143,29.89400182698663,36.22157675872315
BASS-BO,37,32.58172497087706,7.920084096902458,25,1.5840168193804915,29.4770520048913,35.686397936862825
BASS-BO,38,32.25478395065804,7.542949756193029,25,1.5085899512386058,29.29794764623037,35.211620255085705
BASS-BO,39,31.729480809143073,7.057905009769526,25,1.4115810019539052,28.962782045313418,34.49617957297273
BASS-BO,40,31.729480809143073,7.057905009769526,25,1.4115810019539052,28.962782045313418,34.49617957297273
BASS-BO,41,31.729480809143073,7.057905009769526,25,1.4115810019539052,28.962782045313418,34.49617957297273
BASS-BO,42,31.7006270890915,7.026436622606122,25,1.4052873245212243,28.9462639330299,34.4549902451531
BASS-BO,43,31.7006270890915,7.026436622606122,25,1.4052873245212243,28.9462639330299,34.4549902451531
BASS-BO,44,31.7006270890915,7.026436622606122,25,1.4052873245212243,28.9462639330299,34.4549902451531
BASS-BO,45,31.628440555417235,6.960195695837662,25,1.3920391391675324,28.90004384264887,34.3568372681856
BASS-BO,46,31.479068834493685,6.883303082838383,25,1.3766606165676767,28.780814026021037,34.17732364296633
BASS-BO,47,31.479068834493685,6.883303082838383,25,1.3766606165676767,28.780814026021037,34.17732364296633
BASS-BO,48,31.31584458455071,7.076975343820753,25,1.4153950687641506,28.541670249772974,34.09001891932844
BASS-BO,49,30.807106659310513,7.102842325214724,25,1.4205684650429449,28.022792467826342,33.591420850794684
BASS-BO,50,30.684567927787338,7.092663563681019,25,1.4185327127362037,27.90424381082438,33.4648920447503
