objective,seed,arm,generator,sigma,n_cand,best_b80
func2C,1004,dial,flip,10.0,50,-0.20499182133468516
func2C,1004,dial,flip,30.0,1000,-0.20499182133468516
func2C,1004,dial,flip,30.0,50,-0.20499182133468516
func2C,1004,dial,flip,100.0,1000,-0.20499182133468516
func2C,1004,dial,flip,100.0,50,-0.20499182133468516
func2C,1004,tpe_shared,own,-1,-1,-0.20499182133468516
func2C,1005,dial,keep,0.0,1000,-0.20632544990783988
func2C,1005,dial,keep,0.0,50,-0.20632422889214816
func2C,1005,dial,keep,1.0,1000,-0.20554529227142432
func2C,1005,dial,keep,1.0,50,-0.20273436928954572
func2C,1005,dial,keep,3.0,1000,-0.03826321703450497
func2C,1005,dial,keep,3.0,50,-0.1652928812796895
func2C,1005,dial,keep,10.0,1000,0.02095092658388759
func2C,1005,dial,keep,10.0,50,0.0008334824909276006
func2C,1005,dial,keep,30.0,1000,0.015974701798248815
func2C,1005,dial,keep,30.0,50,0.02311129138881713
func2C,1005,dial,keep,100.0,1000,-0.15009816003767795
func2C,1005,dial,keep,100.0,50,-0.050100962887815695
func2C,1005,dial,flip,0.0,1000,-0.20607223579171569
func2C,1005,dial,flip,0.0,50,-0.19809729902473627
func2C,1005,dial,flip,1.0,1000,-0.1936682345941769
func2C,1005,dial,flip,1.0,50,-0.1954942274025226
func2C,1005,dial,flip,3.0,1000,-0.07134954611593315
func2C,1005,dial,flip,3.0,50,-0.16357079459035898
func2C,1005,dial,flip,10.0,1000,-0.200635424701276
func2C,1005,dial,flip,10.0,50,0.019020893323748723
func2C,1005,dial,flip,30.0,1000,0.04069049151789896
func2C,1005,dial,flip,30.0,50,0.0166892224874474
func2C,1005,dial,flip,100.0,1000,0.12310801311383372
func2C,1005,dial,flip,100.0,50,-0.153196067161189
func2C,1005,tpe_shared,own,-1,-1,7.420344598202747e-05
func2C,1006,dial,keep,0.0,1000,-0.2063255483022231
func2C,1006,dial,keep,0.0,50,-0.206321618448346
func2C,1006,dial,keep,1.0,1000,-0.20627753765528797
func2C,1006,dial,keep,1.0,50,-0.2062408348777785
func2C,1006,dial,keep,3.0,1000,0.020985529975144277
func2C,1006,dial,keep,3.0,50,-0.14493339452224374
func2C,1006,dial,keep,10.0,1000,-0.2058453145216585
func2C,1006,dial,keep,10.0,50,0.02096079555695352
func2C,1006,dial,keep,30.0,1000,-0.19458915777868796
func2C,1006,dial,keep,30.0,50,0.005323050706378281
func2C,1006,dial,keep,100.0,1000,0.02297935916870477
func2C,1006,dial,keep,100.0,50,0.10197055428914452
func2C,1006,dial,flip,0.0,1000,-0.20498336510233658
func2C,1006,dial,flip,0.0,50,-0.19940779328372388
func2C,1006,dial,flip,1.0,1000,-0.17492631337322018
func2C,1006,dial,flip,1.0,50,-0.10882343032742288
func2C,1006,dial,flip,3.0,1000,-0.031086267483790658
func2C,1006,dial,flip,3.0,50,0.024468988243552075
func2C,1006,dial,flip,10.0,1000,0.04515265959734581
func2C,1006,dial,flip,10.0,50,0.044658112856375866
func2C,1006,dial,flip,30.0,1000,-0.12706776590900568
func2C,1006,dial,flip,30.0,50,-0.18673060337078934
func2C,1006,dial,flip,100.0,1000,-0.14565159040977035
func2C,1006,dial,flip,100.0,50,-0.13520147996013185
func2C,1006,tpe_shared,own,-1,-1,0.02379603808769197
func2C,1007,dial,keep,0.0,1000,-0.20632481835664912
func2C,1007,dial,keep,0.0,50,-0.20631926440665188
func2C,1007,dial,keep,1.0,1000,-0.20622110332969715
func2C,1007,dial,keep,1.0,50,-0.20573447511089665
func2C,1007,dial,keep,3.0,1000,-0.20489497628270645
func2C,1007,dial,keep,3.0,50,-0.20509663102255482
func2C,1007,dial,keep,10.0,1000,-0.005073626064916542
func2C,1007,dial,keep,10.0,50,-0.1708283641910096
func2C,1007,dial,keep,30.0,1000,-0.1530166115983277
func2C,1007,dial,keep,30.0,50,-0.02397127878387051
func2C,1007,dial,keep,100.0,1000,-0.17207705728472822
func2C,1007,dial,keep,100.0,50,-0.20459695932415553
func2C,1007,dial,flip,0.0,1000,-0.20577640081023177
func2C,1007,dial,flip,0.0,50,-0.19546271794007636
func2C,1007,dial,flip,1.0,1000,-0.16670429769268397
func2C,1007,dial,flip,1.0,50,-0.017589656456868306
func2C,1007,dial,flip,3.0,1000,-0.10129538904967812
func2C,1007,dial,flip,3.0,50,-0.11508822276748687
func2C,1007,dial,flip,10.0,1000,-0.00923438039340994
func2C,1007,dial,flip,10.0,50,-0.008902641068134765
func2C,1007,dial,flip,30.0,1000,-0.07246349319731704
func2C,1007,dial,flip,30.0,50,-0.14897768097813482
func2C,1007,dial,flip,100.0,1000,-0.0029686975979631935
func2C,1007,dial,flip,100.0,50,0.0026270619956412443
func2C,1007,tpe_shared,own,-1,-1,-0.19974291273553854
func2C,1008,dial,keep,0.0,1000,-0.20632568431555107
func2C,1008,dial,keep,0.0,50,-0.20632455093454719
func2C,1008,dial,keep,1.0,1000,-0.18044201747934305
func2C,1008,dial,keep,1.0,50,-0.20558911027364757
func2C,1008,dial,keep,3.0,1000,-0.1887838568236257
func2C,1008,dial,keep,3.0,50,-0.14153894500990574
func2C,1008,dial,keep,10.0,1000,0.006010865068151976
func2C,1008,dial,keep,10.0,50,0.04306114645713227
func2C,1008,dial,keep,30.0,1000,-0.033106567084335195
func2C,1008,dial,keep,30.0,50,-0.17553802998850424
func2C,1008,dial,keep,100.0,1000,-0.16529222785673442
func2C,1008,dial,keep,100.0,50,-0.029396920542359418
func2C,1008,dial,flip,0.0,1000,-0.20533925837157213
func2C,1008,dial,flip,0.0,50,-0.1739573867737808
func2C,1008,dial,flip,1.0,1000,-0.051210160303069886
func2C,1008,dial,flip,1.0,50,-0.146984171190412
func2C,1008,dial,flip,3.0,1000,0.000862348455009694
func2C,1008,dial,flip,3.0,50,-0.1396897737738543
func2C,1008,dial,flip,10.0,1000,0.009307517657722073
func2C,1008,dial,flip,10.0,50,0.03991869053756074
func2C,1008,dial,flip,30.0,1000,-0.18132059723614652
func2C,1008,dial,flip,30.0,50,0.002662444027730321
func2C,1008,dial,flip,100.0,1000,-0.006255862746899492
func2C,1008,dial,flip,100.0,50,0.008976022836433437
func2C,1008,tpe_shared,own,-1,-1,-0.2019783965254402
func2C,1009,dial,keep,0.0,1000,-0.20632560380380763
func2C,1009,dial,keep,0.0,50,-0.20631421212453213
func2C,1009,dial,keep,1.0,1000,-0.1037128515571781
func2C,1009,dial,keep,1.0,50,0.0009586918697283116
func2C,1009,dial,keep,3.0,1000,-0.2046875907297176
func2C,1009,dial,keep,3.0,50,-0.10972001735045209
func2C,1009,dial,keep,10.0,1000,-0.07028855364240831
func2C,1009,dial,keep,10.0,50,-0.07001436117423121
func2C,1009,dial,keep,30.0,1000,-0.09927677244635125
func2C,1009,dial,keep,30.0,50,0.011885506714328689
func2C,1009,dial,keep,100.0,1000,0.0016088006892384023
func2C,1009,dial,keep,100.0,50,-0.18105181744882975
func2C,1009,dial,flip,0.0,1000,-0.20551326452490812
func2C,1009,dial,flip,0.0,50,-0.19201440526744543
func2C,1009,dial,flip,1.0,1000,-0.03795536201622957
func2C,1009,dial,flip,1.0,50,-0.1147913794333995
func2C,1009,dial,flip,3.0,1000,0.0033344109215368177
func2C,1009,dial,flip,3.0,50,-0.11904547412194122
func2C,1009,dial,flip,10.0,1000,-0.10577193311608175
func2C,1009,dial,flip,10.0,50,-0.11402626745815896
func2C,1009,dial,flip,30.0,1000,-0.1405709530484569
func2C,1009,dial,flip,30.0,50,0.033823107809827314
func2C,1009,dial,flip,100.0,1000,-0.042424150402091756
func2C,1009,dial,flip,100.0,50,-0.08856014220383455
func2C,1009,tpe_shared,own,-1,-1,-0.057255618369067764
func2C,1010,dial,keep,0.0,1000,-0.20632454257467722
func2C,1010,dial,keep,0.0,50,-0.20632227324043387
func2C,1010,dial,keep,1.0,1000,-0.197903600988224
func2C,1010,dial,keep,1.0,50,-0.20492093643406933
func2C,1010,dial,keep,3.0,1000,-0.16400951886357518
func2C,1010,dial,keep,3.0,50,-0.07108347059075619
func2C,1010,dial,keep,10.0,1000,0.02136528820984794
func2C,1010,dial,keep,10.0,50,0.02093526847123138
func2C,1010,dial,keep,30.0,1000,-0.07590433534140653
func2C,1010,dial,keep,30.0,50,-0.2056510233314471
func2C,1010,dial,keep,100.0,1000,0.0235305650972768
func2C,1010,dial,keep,100.0,50,-0.18560420461958993
func2C,1010,dial,flip,0.0,1000,-0.20618901974025589
func2C,1010,dial,flip,0.0,50,-0.2008081472793754
func2C,1010,dial,flip,1.0,1000,-0.08410272833964974
func2C,1010,dial,flip,1.0,50,0.0007939155365877323
func2C,1010,dial,flip,3.0,1000,-0.10572129834308205
func2C,1010,dial,flip,3.0,50,-0.1396360876116361
func2C,1010,dial,flip,10.0,1000,0.020277498736489794
func2C,1010,dial,flip,10.0,50,0.01237289889433686
func2C,1010,dial,flip,30.0,1000,0.012569681354578683
func2C,1010,dial,flip,30.0,50,-0.10977663887425493
func2C,1010,dial,flip,100.0,1000,0.05430044418498854
func2C,1010,dial,flip,100.0,50,0.004347903425900412
func2C,1010,tpe_shared,own,-1,-1,-0.2039449401863897
func2C,1011,dial,keep,0.0,1000,-0.20632542180939675
func2C,1011,dial,keep,0.0,50,-0.2063249023186906
func2C,1011,dial,keep,1.0,1000,-0.2062949551663281
func2C,1011,dial,keep,1.0,50,-0.20632235569511165
func2C,1011,dial,keep,3.0,1000,-0.2033808216445338
func2C,1011,dial,keep,3.0,50,-0.205624668115429
func2C,1011,dial,keep,10.0,1000,-0.1529116567927834
func2C,1011,dial,keep,10.0,50,-0.18469356178753177
func2C,1011,dial,keep,30.0,1000,-0.1529116567927834
func2C,1011,dial,keep,30.0,50,-0.1529116567927834
func2C,1011,dial,keep,100.0,1000,-0.1529116567927834
func2C,1011,dial,keep,100.0,50,-0.18763728173323607
func2C,1011,dial,flip,0.0,1000,-0.20440861966701435
func2C,1011,dial,flip,0.0,50,-0.1809397627934482
func2C,1011,dial,flip,1.0,1000,-0.1529116567927834
func2C,1011,dial,flip,1.0,50,-0.1529116567927834
func2C,1011,dial,flip,3.0,1000,-0.18656291308145204
func2C,1011,dial,flip,3.0,50,-0.1529116567927834
func2C,1011,dial,flip,10.0,1000,-0.1529116567927834
func2C,1011,dial,flip,10.0,50,-0.1529116567927834
func2C,1011,dial,flip,30.0,1000,-0.1529116567927834
func2C,1011,dial,flip,30.0,50,-0.1529116567927834
func2C,1011,dial,flip,100.0,1000,-0.1529116567927834
func2C,1011,dial,flip,100.0,50,-0.1529116567927834
func2C,1011,tpe_shared,own,-1,-1,-0.20524255921292464
func2C,1012,dial,keep,0.0,1000,-0.20632539644293976
func2C,1012,dial,keep,0.0,50,-0.20632475742314624
func2C,1012,dial,keep,1.0,1000,-0.19527970385405974
func2C,1012,dial,keep,1.0,50,0.020956366201412197
func2C,1012,dial,keep,3.0,1000,-0.1465043131515957
func2C,1012,dial,keep,3.0,50,-0.095383071722077
func2C,1012,dial,keep,10.0,1000,-0.18377640119465868
func2C,1012,dial,keep,10.0,50,0.023282607957099834
func2C,1012,dial,keep,30.0,1000,0.04816783229814673
func2C,1012,dial,keep,30.0,50,-0.18796154016456382
func2C,1012,dial,keep,100.0,1000,-0.1973990848487573
func2C,1012,dial,keep,100.0,50,-0.06793769736924171
func2C,1012,dial,flip,0.0,1000,-0.20590995136990992
func2C,1012,dial,flip,0.0,50,-0.18470011420056182
func2C,1012,dial,flip,1.0,1000,-0.1364565396561615
func2C,1012,dial,flip,1.0,50,-0.07463000735047494
func2C,1012,dial,flip,3.0,1000,-0.18373637900352918
func2C,1012,dial,flip,3.0,50,-0.18680015346631507
func2C,1012,dial,flip,10.0,1000,-0.09311673065469575
func2C,1012,dial,flip,10.0,50,-0.015908401542955967
func2C,1012,dial,flip,30.0,1000,-0.13712220444761092
func2C,1012,dial,flip,30.0,50,-0.026099301270147167
func2C,1012,dial,flip,100.0,1000,-0.18563051228654265
func2C,1012,dial,flip,100.0,50,0.03872902021811002
func2C,1012,tpe_shared,own,-1,-1,0.02109956253374192
func2C,1013,dial,keep,0.0,1000,-0.20632560680409712
func2C,1013,dial,keep,0.0,50,-0.20630528348642177
func2C,1013,dial,keep,1.0,1000,-0.20492375264611265
func2C,1013,dial,keep,1.0,50,-0.1974168234470298
func2C,1013,dial,keep,3.0,1000,-0.1887312910991617
func2C,1013,dial,keep,3.0,50,-0.16265517915246874
func2C,1013,dial,keep,10.0,1000,-0.17386535021018554
func2C,1013,dial,keep,10.0,50,-0.16335873571875936
func2C,1013,dial,keep,30.0,1000,0.011499098795587947
func2C,1013,dial,keep,30.0,50,0.002385353694487259
func2C,1013,dial,keep,100.0,1000,-0.13128123297169952
func2C,1013,dial,keep,100.0,50,-0.03540258594948016
func2C,1013,dial,flip,0.0,1000,-0.20616042217295055
func2C,1013,dial,flip,0.0,50,-0.20226199075732657
func2C,1013,dial,flip,1.0,1000,-0.18954464013775876
func2C,1013,dial,flip,1.0,50,-0.0656421613472797
func2C,1013,dial,flip,3.0,1000,-0.14637498835802681
func2C,1013,dial,flip,3.0,50,0.024816653821419853
func2C,1013,dial,flip,10.0,1000,-0.14672751980769766
func2C,1013,dial,flip,10.0,50,-0.16664337506685872
func2C,1013,dial,flip,30.0,1000,-0.11724055694765774
func2C,1013,dial,flip,30.0,50,-0.18044595178980238
func2C,1013,dial,flip,100.0,1000,-0.1971716966801285
func2C,1013,dial,flip,100.0,50,0.025934775486263707
func2C,1013,tpe_shared,own,-1,-1,-0.2045257709587855
func2C,1014,dial,keep,0.0,1000,-0.20632547979984106
func2C,1014,dial,keep,0.0,50,-0.20631805009324697
func2C,1014,dial,keep,1.0,1000,-0.20531294543407178
func2C,1014,dial,keep,1.0,50,-0.1918734046483992
func2C,1014,dial,keep,3.0,1000,-0.2044251982592938
func2C,1014,dial,keep,3.0,50,0.0035090672799856612
func2C,1014,dial,keep,10.0,1000,0.058223039570764266
func2C,1014,dial,keep,10.0,50,0.0027315513664719487
func2C,1014,dial,keep,30.0,1000,0.002373511972041731
func2C,1014,dial,keep,30.0,50,-0.19791823554143978
func2C,1014,dial,keep,100.0,1000,-0.14524674624274128
func2C,1014,dial,keep,100.0,50,-0.18482516766110474
func2C,1014,dial,flip,0.0,1000,-0.20598889036996731
func2C,1014,dial,flip,0.0,50,-0.1912258999538318
func2C,1014,dial,flip,1.0,1000,-0.1602806518889245
func2C,1014,dial,flip,1.0,50,-0.03822958302449535
func2C,1014,dial,flip,3.0,1000,-0.1419026309372577
func2C,1014,dial,flip,3.0,50,-0.0012293677749749712
func2C,1014,dial,flip,10.0,1000,-0.15216112952934277
func2C,1014,dial,flip,10.0,50,-0.12138748077142603
func2C,1014,dial,flip,30.0,1000,0.0018328505716808151
func2C,1014,dial,flip,30.0,50,-0.05629674875507377
func2C,1014,dial,flip,100.0,1000,0.00817361257576446
func2C,1014,dial,flip,100.0,50,-0.09997654350298416
func2C,1014,tpe_shared,own,-1,-1,-0.20187641720260766
func2C,1015,dial,keep,0.0,1000,-0.20632440080903303
func2C,1015,dial,keep,0.0,50,-0.20631713166488433
func2C,1015,dial,keep,1.0,1000,-0.20608536012770484
func2C,1015,dial,keep,1.0,50,-0.20461364709201138
func2C,1015,dial,keep,3.0,1000,-0.18331956339597505
func2C,1015,dial,keep,3.0,50,-0.19994624236379602
func2C,1015,dial,keep,10.0,1000,-0.16277385681693946
func2C,1015,dial,keep,10.0,50,0.0020417481180343353
func2C,1015,dial,keep,30.0,1000,0.002120171469224077
func2C,1015,dial,keep,30.0,50,-0.16586876613552
func2C,1015,dial,keep,100.0,1000,-0.10272003202647402
func2C,1015,dial,keep,100.0,50,-0.16285831100706838
func2C,1015,dial,flip,0.0,1000,-0.205644576118769
func2C,1015,dial,flip,0.0,50,-0.2012403256174394
func2C,1015,dial,flip,1.0,1000,-0.037020512624516735
func2C,1015,dial,flip,1.0,50,-0.10559558360328072
func2C,1015,dial,flip,3.0,1000,-0.1952955532944726
func2C,1015,dial,flip,3.0,50,-0.15027016080228667
func2C,1015,dial,flip,10.0,1000,0.001193739635224303
func2C,1015,dial,flip,10.0,50,0.0013171384048761444
func2C,1015,dial,flip,30.0,1000,-0.15168190457331648
func2C,1015,dial,flip,30.0,50,0.03239718563400516
func2C,1015,dial,flip,100.0,1000,-0.12138828333261738
func2C,1015,dial,flip,100.0,50,0.06382357981433379
func2C,1015,tpe_shared,own,-1,-1,-0.20587301906456706
func2C,1016,dial,keep,0.0,1000,-0.20632543225010253
func2C,1016,dial,keep,0.0,50,-0.20631489440376663
func2C,1016,dial,keep,1.0,1000,-0.20587729977644992
func2C,1016,dial,keep,1.0,50,-0.20622327169672533
