objective,seed,arm,generator,sigma,n_cand,best_b80
func2C,1019,dial,flip,100.0,1000,-0.03323354950862066
func2C,1019,dial,flip,100.0,50,-0.1792574751052015
func2C,1019,tpe_shared,own,-1,-1,0.02449375332751305
func2C,1020,dial,keep,0.0,1000,-0.20632536779045857
func2C,1020,dial,keep,0.0,50,-0.20632049777189948
func2C,1020,dial,keep,1.0,1000,-0.2062510893495395
func2C,1020,dial,keep,1.0,50,-0.2061935778289433
func2C,1020,dial,keep,3.0,1000,-0.20595824296640006
func2C,1020,dial,keep,3.0,50,-0.20337611223354585
func2C,1020,dial,keep,10.0,1000,-0.11955004607395976
func2C,1020,dial,keep,10.0,50,0.02095402476017944
func2C,1020,dial,keep,30.0,1000,-0.20529687739188698
func2C,1020,dial,keep,30.0,50,-0.1668026090268794
func2C,1020,dial,keep,100.0,1000,0.023965721921215714
func2C,1020,dial,keep,100.0,50,0.03243316945485158
func2C,1020,dial,flip,0.0,1000,-0.20547098694533167
func2C,1020,dial,flip,0.0,50,-0.19039149637066982
func2C,1020,dial,flip,1.0,1000,-0.19240475331874177
func2C,1020,dial,flip,1.0,50,-0.0029297306005348286
func2C,1020,dial,flip,3.0,1000,-0.0483298595361807
func2C,1020,dial,flip,3.0,50,-0.17867221056668442
func2C,1020,dial,flip,10.0,1000,-0.008883862156945144
func2C,1020,dial,flip,10.0,50,-0.10838114176433544
func2C,1020,dial,flip,30.0,1000,0.0010015387745094771
func2C,1020,dial,flip,30.0,50,-0.11777615473969458
func2C,1020,dial,flip,100.0,1000,0.09950794543707309
func2C,1020,dial,flip,100.0,50,0.029671765566859968
func2C,1020,tpe_shared,own,-1,-1,-0.2027201931970263
func2C,1021,dial,keep,0.0,1000,-0.20632551665230237
func2C,1021,dial,keep,0.0,50,-0.20632221657744573
func2C,1021,dial,keep,1.0,1000,-0.20459173750166978
func2C,1021,dial,keep,1.0,50,-0.2050067775425129
func2C,1021,dial,keep,3.0,1000,0.0016956501791645262
func2C,1021,dial,keep,3.0,50,-0.059699997679514706
func2C,1021,dial,keep,10.0,1000,-0.00013343210771248754
func2C,1021,dial,keep,10.0,50,-0.19885497271269262
func2C,1021,dial,keep,30.0,1000,-0.2036992008027978
func2C,1021,dial,keep,30.0,50,0.000492903046244924
func2C,1021,dial,keep,100.0,1000,-0.11798101630854027
func2C,1021,dial,keep,100.0,50,-0.09740630201205953
func2C,1021,dial,flip,0.0,1000,-0.20508930724568236
func2C,1021,dial,flip,0.0,50,-0.18299806036218708
func2C,1021,dial,flip,1.0,1000,-0.16549173521451338
func2C,1021,dial,flip,1.0,50,-0.19367770088879152
func2C,1021,dial,flip,3.0,1000,-0.04705252898468864
func2C,1021,dial,flip,3.0,50,-0.06776164314809763
func2C,1021,dial,flip,10.0,1000,-0.18209263207345192
func2C,1021,dial,flip,10.0,50,-0.18271973121406387
func2C,1021,dial,flip,30.0,1000,-0.06823144654497354
func2C,1021,dial,flip,30.0,50,-0.07765286660110009
func2C,1021,dial,flip,100.0,1000,0.011118458892864365
func2C,1021,dial,flip,100.0,50,0.006636477914440569
func2C,1021,tpe_shared,own,-1,-1,-0.11808087741689861
func2C,1022,dial,keep,0.0,1000,-0.20632538444407084
func2C,1022,dial,keep,0.0,50,-0.20632466695613672
func2C,1022,dial,keep,1.0,1000,-0.18400662765248335
func2C,1022,dial,keep,1.0,50,-0.19759838211529493
func2C,1022,dial,keep,3.0,1000,-0.2017341626958336
func2C,1022,dial,keep,3.0,50,-0.20604219251085962
func2C,1022,dial,keep,10.0,1000,-0.009287677952335635
func2C,1022,dial,keep,10.0,50,-0.1970646645932133
func2C,1022,dial,keep,30.0,1000,-0.19161999291983614
func2C,1022,dial,keep,30.0,50,-0.07400297421395689
func2C,1022,dial,keep,100.0,1000,-0.17469636679237543
func2C,1022,dial,keep,100.0,50,0.06684503571329249
func2C,1022,dial,flip,0.0,1000,-0.20504252411322982
func2C,1022,dial,flip,0.0,50,-0.18642278655191818
func2C,1022,dial,flip,1.0,1000,-0.024908059260331107
func2C,1022,dial,flip,1.0,50,-0.043514563245302514
func2C,1022,dial,flip,3.0,1000,0.020936928324694605
func2C,1022,dial,flip,3.0,50,-0.1238973246823996
func2C,1022,dial,flip,10.0,1000,0.0014178458107202813
func2C,1022,dial,flip,10.0,50,-0.15912963206640476
func2C,1022,dial,flip,30.0,1000,0.007134329219292623
func2C,1022,dial,flip,30.0,50,-0.0735737333671049
func2C,1022,dial,flip,100.0,1000,0.04996351716857326
func2C,1022,dial,flip,100.0,50,0.010058347837740077
func2C,1022,tpe_shared,own,-1,-1,0.023667665811172422
func2C,1023,dial,keep,0.0,1000,-0.20632565187149904
func2C,1023,dial,keep,0.0,50,-0.2063201138119132
func2C,1023,dial,keep,1.0,1000,-0.19940046450341975
func2C,1023,dial,keep,1.0,50,-0.200682070152692
func2C,1023,dial,keep,3.0,1000,-0.19676348187140807
func2C,1023,dial,keep,3.0,50,-0.05767763231655001
func2C,1023,dial,keep,10.0,1000,0.00048256595510001314
func2C,1023,dial,keep,10.0,50,-0.10948016462898524
func2C,1023,dial,keep,30.0,1000,0.012672802216589504
func2C,1023,dial,keep,30.0,50,-0.015584847314025341
func2C,1023,dial,keep,100.0,1000,0.021147003865918522
func2C,1023,dial,keep,100.0,50,-0.1457012079546
func2C,1023,dial,flip,0.0,1000,-0.2047746194931658
func2C,1023,dial,flip,0.0,50,-0.18428495110986381
func2C,1023,dial,flip,1.0,1000,-0.134774053003161
func2C,1023,dial,flip,1.0,50,-0.1430031239354867
func2C,1023,dial,flip,3.0,1000,-0.15002146027199104
func2C,1023,dial,flip,3.0,50,-0.11645143675176275
func2C,1023,dial,flip,10.0,1000,-0.06414568667003942
func2C,1023,dial,flip,10.0,50,-0.1730310653813569
func2C,1023,dial,flip,30.0,1000,0.018451125192511846
func2C,1023,dial,flip,30.0,50,-0.0862033632422213
func2C,1023,dial,flip,100.0,1000,-0.06049729829889718
func2C,1023,dial,flip,100.0,50,0.008765129112195867
func2C,1023,tpe_shared,own,-1,-1,-0.19826361558348232
func2C,1024,dial,keep,0.0,1000,-0.20632553279711163
func2C,1024,dial,keep,0.0,50,-0.20629482374678507
func2C,1024,dial,keep,1.0,1000,-0.20336122033573817
func2C,1024,dial,keep,1.0,50,-0.20433031106672472
func2C,1024,dial,keep,3.0,1000,-0.1635016277838159
func2C,1024,dial,keep,3.0,50,-0.11887088361468685
func2C,1024,dial,keep,10.0,1000,-0.19323567911157316
func2C,1024,dial,keep,10.0,50,-0.18433040531550526
func2C,1024,dial,keep,30.0,1000,-0.10001433762956331
func2C,1024,dial,keep,30.0,50,-0.19502022937720326
func2C,1024,dial,keep,100.0,1000,-0.015735177607618694
func2C,1024,dial,keep,100.0,50,0.01575649121295016
func2C,1024,dial,flip,0.0,1000,-0.2062440564020021
func2C,1024,dial,flip,0.0,50,-0.16510528557660362
func2C,1024,dial,flip,1.0,1000,-0.11842117062896056
func2C,1024,dial,flip,1.0,50,-0.018254199774902436
func2C,1024,dial,flip,3.0,1000,-0.1281577431177435
func2C,1024,dial,flip,3.0,50,-0.11566964827905005
func2C,1024,dial,flip,10.0,1000,0.020936752229724215
func2C,1024,dial,flip,10.0,50,-0.028025660826881633
func2C,1024,dial,flip,30.0,1000,0.0016722492284349383
func2C,1024,dial,flip,30.0,50,-0.01788409880835453
func2C,1024,dial,flip,100.0,1000,0.025832505133128736
func2C,1024,dial,flip,100.0,50,0.0006820858466424842
func2C,1024,tpe_shared,own,-1,-1,0.021296749626521682
func2C,1025,dial,keep,0.0,1000,-0.20632368972742016
func2C,1025,dial,keep,0.0,50,-0.2063144341543764
func2C,1025,dial,keep,1.0,1000,-0.20586332589888764
func2C,1025,dial,keep,1.0,50,-0.20607221625633954
func2C,1025,dial,keep,3.0,1000,-0.061180720710826544
func2C,1025,dial,keep,3.0,50,-0.005253703521149511
func2C,1025,dial,keep,10.0,1000,-0.030135792327736288
func2C,1025,dial,keep,10.0,50,-0.022454206363414216
func2C,1025,dial,keep,30.0,1000,0.008915001995454409
func2C,1025,dial,keep,30.0,50,0.02094625283793827
func2C,1025,dial,keep,100.0,1000,-0.13370926750258896
func2C,1025,dial,keep,100.0,50,0.06872012928482663
func2C,1025,dial,flip,0.0,1000,-0.20540838163747743
func2C,1025,dial,flip,0.0,50,-0.1969760892107314
func2C,1025,dial,flip,1.0,1000,-0.09997271394476497
func2C,1025,dial,flip,1.0,50,-0.09758544145178356
func2C,1025,dial,flip,3.0,1000,0.021419744550150232
func2C,1025,dial,flip,3.0,50,-0.11582341732578876
func2C,1025,dial,flip,10.0,1000,-0.015893673262173592
func2C,1025,dial,flip,10.0,50,-0.10910797509698811
func2C,1025,dial,flip,30.0,1000,-0.06034038380193374
func2C,1025,dial,flip,30.0,50,0.048898226080246195
func2C,1025,dial,flip,100.0,1000,-0.20395464477119374
func2C,1025,dial,flip,100.0,50,0.0007997596858741473
func2C,1025,tpe_shared,own,-1,-1,0.044739820074265274
func3C,1001,dial,keep,0.0,1000,-0.7221388979683383
func3C,1001,dial,keep,0.0,50,-0.7221197028488708
func3C,1001,dial,keep,1.0,1000,-0.7219575470170594
func3C,1001,dial,keep,1.0,50,-0.71191731113409
func3C,1001,dial,keep,3.0,1000,-0.4248311105774504
func3C,1001,dial,keep,3.0,50,-0.6492599148666125
func3C,1001,dial,keep,10.0,1000,-0.3140961221000092
func3C,1001,dial,keep,10.0,50,-0.5655006250052048
func3C,1001,dial,keep,30.0,1000,-0.2780911931164008
func3C,1001,dial,keep,30.0,50,-0.4975255750618108
func3C,1001,dial,keep,100.0,1000,0.26601014205179735
func3C,1001,dial,keep,100.0,50,-0.3035914465308842
func3C,1001,dial,flip,0.0,1000,-0.7215430739670179
func3C,1001,dial,flip,0.0,50,-0.6775522084663415
func3C,1001,dial,flip,1.0,1000,-0.667273209480816
func3C,1001,dial,flip,1.0,50,-0.49395815301877444
func3C,1001,dial,flip,3.0,1000,-0.514618431265295
func3C,1001,dial,flip,3.0,50,-0.7029847874170574
func3C,1001,dial,flip,10.0,1000,-0.37916019158586134
func3C,1001,dial,flip,10.0,50,0.15131517335223926
func3C,1001,dial,flip,30.0,1000,-0.6352094352459818
func3C,1001,dial,flip,30.0,50,-0.4641967000016086
func3C,1001,dial,flip,100.0,1000,-0.5543443440413385
func3C,1001,dial,flip,100.0,50,0.06514133936329516
func3C,1001,tpe_shared,own,-1,-1,-0.4587817262324258
func3C,1002,dial,keep,0.0,1000,-0.722138740970862
func3C,1002,dial,keep,0.0,50,-0.7221070535936107
func3C,1002,dial,keep,1.0,1000,-0.7214338292677157
func3C,1002,dial,keep,1.0,50,-0.7208817308186091
func3C,1002,dial,keep,3.0,1000,-0.7187354683305065
func3C,1002,dial,keep,3.0,50,-0.7088965650210116
func3C,1002,dial,keep,10.0,1000,-0.3854992599788306
func3C,1002,dial,keep,10.0,50,-0.39616388665132707
func3C,1002,dial,keep,30.0,1000,-0.4536592903451989
func3C,1002,dial,keep,30.0,50,-0.4216534336757544
func3C,1002,dial,keep,100.0,1000,-0.06072659998632496
func3C,1002,dial,keep,100.0,50,-0.06072659998632496
func3C,1002,dial,flip,0.0,1000,-0.6992011851430446
func3C,1002,dial,flip,0.0,50,-0.5934436373825096
func3C,1002,dial,flip,1.0,1000,-0.5342447558010581
func3C,1002,dial,flip,1.0,50,-0.4720623901879029
func3C,1002,dial,flip,3.0,1000,-0.604702971603927
func3C,1002,dial,flip,3.0,50,-0.3249472153290094
func3C,1002,dial,flip,10.0,1000,-0.6698184913917504
func3C,1002,dial,flip,10.0,50,-0.22669367128744872
func3C,1002,dial,flip,30.0,1000,-0.06072659998632496
func3C,1002,dial,flip,30.0,50,-0.20810514791339974
func3C,1002,dial,flip,100.0,1000,-0.06072659998632496
func3C,1002,dial,flip,100.0,50,-0.09977924819147088
func3C,1002,tpe_shared,own,-1,-1,-0.06072659998632496
func3C,1003,dial,keep,0.0,1000,-0.7221393360581104
func3C,1003,dial,keep,0.0,50,-0.7221234404594179
func3C,1003,dial,keep,1.0,1000,-0.7219615452235673
func3C,1003,dial,keep,1.0,50,-0.7219780797692166
func3C,1003,dial,keep,3.0,1000,-0.46025619401316153
func3C,1003,dial,keep,3.0,50,-0.20325396120544684
func3C,1003,dial,keep,10.0,1000,0.04201979244904571
func3C,1003,dial,keep,10.0,50,-0.7082482049807997
func3C,1003,dial,keep,30.0,1000,0.04186844883378726
func3C,1003,dial,keep,30.0,50,0.09135420503166863
func3C,1003,dial,keep,100.0,1000,0.057910144883020306
func3C,1003,dial,keep,100.0,50,-0.39188519975398595
func3C,1003,dial,flip,0.0,1000,-0.7116307971194762
func3C,1003,dial,flip,0.0,50,-0.6179279196492745
func3C,1003,dial,flip,1.0,1000,-0.7205238884021793
func3C,1003,dial,flip,1.0,50,-0.6699528986116555
func3C,1003,dial,flip,3.0,1000,-0.38115109139475667
func3C,1003,dial,flip,3.0,50,0.052335637087639206
func3C,1003,dial,flip,10.0,1000,-0.3733474372686924
func3C,1003,dial,flip,10.0,50,0.03239280184917389
func3C,1003,dial,flip,30.0,1000,0.11864258185570528
func3C,1003,dial,flip,30.0,50,-0.001067684196725746
func3C,1003,dial,flip,100.0,1000,0.20237390790562
func3C,1003,dial,flip,100.0,50,0.0031289924069472395
func3C,1003,tpe_shared,own,-1,-1,-0.45972332488894685
func3C,1004,dial,keep,0.0,1000,-0.7221374753139833
func3C,1004,dial,keep,0.0,50,-0.7221287466586171
func3C,1004,dial,keep,1.0,1000,-0.7200525209065225
func3C,1004,dial,keep,1.0,50,-0.722111467113226
func3C,1004,dial,keep,3.0,1000,-0.689209887265934
func3C,1004,dial,keep,3.0,50,-0.37929424104862985
func3C,1004,dial,keep,10.0,1000,-0.3951960946348394
func3C,1004,dial,keep,10.0,50,-0.4364168301814901
func3C,1004,dial,keep,30.0,1000,0.07129028701911835
func3C,1004,dial,keep,30.0,50,0.14012243467015081
func3C,1004,dial,keep,100.0,1000,-0.5926363828077026
func3C,1004,dial,keep,100.0,50,0.0509304511647287
func3C,1004,dial,flip,0.0,1000,-0.7216226292172261
func3C,1004,dial,flip,0.0,50,-0.6715263605462447
func3C,1004,dial,flip,1.0,1000,-0.6535140506462087
func3C,1004,dial,flip,1.0,50,-0.6118499103134923
func3C,1004,dial,flip,3.0,1000,-0.4823374035754519
func3C,1004,dial,flip,3.0,50,-0.4437319613798783
func3C,1004,dial,flip,10.0,1000,-0.21674494204023356
func3C,1004,dial,flip,10.0,50,-0.3132616659055772
func3C,1004,dial,flip,30.0,1000,-0.06647976831314814
func3C,1004,dial,flip,30.0,50,-0.2193555570781576
func3C,1004,dial,flip,100.0,1000,-0.44906365122750125
func3C,1004,dial,flip,100.0,50,-0.29606045873697623
func3C,1004,tpe_shared,own,-1,-1,-0.635742867323609
func3C,1005,dial,keep,0.0,1000,-0.7221385109742392
func3C,1005,dial,keep,0.0,50,-0.7221212318005286
func3C,1005,dial,keep,1.0,1000,-0.7220159179964476
func3C,1005,dial,keep,1.0,50,-0.7214435776474089
func3C,1005,dial,keep,3.0,1000,0.04186758702091696
func3C,1005,dial,keep,3.0,50,0.04115074063287344
func3C,1005,dial,keep,10.0,1000,-0.3651408783098605
func3C,1005,dial,keep,10.0,50,-0.26447419461830046
func3C,1005,dial,keep,30.0,1000,-0.5689564548384765
func3C,1005,dial,keep,30.0,50,0.0015962302056605102
func3C,1005,dial,keep,100.0,1000,0.12780448345036008
func3C,1005,dial,keep,100.0,50,-0.24752092858195834
func3C,1005,dial,flip,0.0,1000,-0.7151809862300412
func3C,1005,dial,flip,0.0,50,-0.6471713563219401
func3C,1005,dial,flip,1.0,1000,-0.6797002812531195
func3C,1005,dial,flip,1.0,50,-0.7037662750666588
func3C,1005,dial,flip,3.0,1000,-0.45199810449445194
func3C,1005,dial,flip,3.0,50,-0.46245623398510005
func3C,1005,dial,flip,10.0,1000,-0.291952869626771
func3C,1005,dial,flip,10.0,50,-0.3794741535041236
func3C,1005,dial,flip,30.0,1000,-0.6717539708592436
func3C,1005,dial,flip,30.0,50,0.08620182150667166
func3C,1005,dial,flip,100.0,1000,0.01848486436043049
func3C,1005,dial,flip,100.0,50,-0.23293039900184495
func3C,1005,tpe_shared,own,-1,-1,-0.44649192342614014
func3C,1006,dial,keep,0.0,1000,-0.7221360371791886
func3C,1006,dial,keep,0.0,50,-0.7221137894405409
func3C,1006,dial,keep,1.0,1000,-0.7218697500936871
func3C,1006,dial,keep,1.0,50,-0.7218288978040288
func3C,1006,dial,keep,3.0,1000,-0.7218608560982034
func3C,1006,dial,keep,3.0,50,-0.4550136063245034
func3C,1006,dial,keep,10.0,1000,-0.421317026645611
func3C,1006,dial,keep,10.0,50,0.0652711342480719
func3C,1006,dial,keep,30.0,1000,0.07194790083362795
func3C,1006,dial,keep,30.0,50,0.01420925867594829
func3C,1006,dial,keep,100.0,1000,0.13092947882907432
func3C,1006,dial,keep,100.0,50,0.27429726798826626
func3C,1006,dial,flip,0.0,1000,-0.7177240114071073
func3C,1006,dial,flip,0.0,50,-0.6828533457087068
func3C,1006,dial,flip,1.0,1000,-0.6577998312462743
func3C,1006,dial,flip,1.0,50,-0.43048729575992206
func3C,1006,dial,flip,3.0,1000,-0.623728249359028
func3C,1006,dial,flip,3.0,50,-0.4316284462893153
func3C,1006,dial,flip,10.0,1000,-0.27370818127594115
func3C,1006,dial,flip,10.0,50,-0.6395826420215559
func3C,1006,dial,flip,30.0,1000,0.04482857530052409
func3C,1006,dial,flip,30.0,50,0.17105500586082728
func3C,1006,dial,flip,100.0,1000,0.0195648757415407
func3C,1006,dial,flip,100.0,50,-0.2824130910167482
func3C,1006,tpe_shared,own,-1,-1,-0.3593551341851165
func3C,1007,dial,keep,0.0,1000,-0.7221378472798681
func3C,1007,dial,keep,0.0,50,-0.7221384988601682
func3C,1007,dial,keep,1.0,1000,-0.7218683205708403
func3C,1007,dial,keep,1.0,50,-0.7182257723059797
func3C,1007,dial,keep,3.0,1000,-0.707001413010677
func3C,1007,dial,keep,3.0,50,-0.7202175155741452
func3C,1007,dial,keep,10.0,1000,-0.32286097652399054
func3C,1007,dial,keep,10.0,50,-0.2655389839427086
func3C,1007,dial,keep,30.0,1000,-0.38324642260007186
func3C,1007,dial,keep,30.0,50,-0.23826982784934364
func3C,1007,dial,keep,100.0,1000,0.0220710922761149
func3C,1007,dial,keep,100.0,50,-0.16937375420382922
func3C,1007,dial,flip,0.0,1000,-0.7098822287967956
func3C,1007,dial,flip,0.0,50,-0.46851002850883694
func3C,1007,dial,flip,1.0,1000,-0.642194236311903
func3C,1007,dial,flip,1.0,50,-0.4622010884356839
func3C,1007,dial,flip,3.0,1000,-0.3598551386234064
func3C,1007,dial,flip,3.0,50,-0.35494447438984095
func3C,1007,dial,flip,10.0,1000,-0.6795850850950582
func3C,1007,dial,flip,10.0,50,-0.6180497351610299
func3C,1007,dial,flip,30.0,1000,0.0013934492345064596
func3C,1007,dial,flip,30.0,50,0.013460578263365233
func3C,1007,dial,flip,100.0,1000,0.011893687489508952
func3C,1007,dial,flip,100.0,50,0.05631471665415789
func3C,1007,tpe_shared,own,-1,-1,-0.4921498623943292
func3C,1008,dial,keep,0.0,1000,-0.7221384135919324
func3C,1008,dial,keep,0.0,50,-0.722119415676358
func3C,1008,dial,keep,1.0,1000,-0.7211287689831045
func3C,1008,dial,keep,1.0,50,-0.4986716391060955
func3C,1008,dial,keep,3.0,1000,-0.3129750729700358
func3C,1008,dial,keep,3.0,50,-0.6269613226922774
func3C,1008,dial,keep,10.0,1000,-0.6853815433106122
func3C,1008,dial,keep,10.0,50,-0.7220458601065114
func3C,1008,dial,keep,30.0,1000,-0.5538845077539147
func3C,1008,dial,keep,30.0,50,0.050499920071287015
func3C,1008,dial,keep,100.0,1000,-0.10910935461326522
func3C,1008,dial,keep,100.0,50,-0.1579297584117335
func3C,1008,dial,flip,0.0,1000,-0.7110663620985914
func3C,1008,dial,flip,0.0,50,-0.6755004696293638
func3C,1008,dial,flip,1.0,1000,-0.5398834085016939
func3C,1008,dial,flip,1.0,50,-0.5805798808650138
func3C,1008,dial,flip,3.0,1000,-0.52291988222478
func3C,1008,dial,flip,3.0,50,-0.21488481853916294
func3C,1008,dial,flip,10.0,1000,-0.5152750060213175
func3C,1008,dial,flip,10.0,50,-0.21770496922334193
func3C,1008,dial,flip,30.0,1000,-0.5508303194800577
func3C,1008,dial,flip,30.0,50,0.06105969186409187
func3C,1008,dial,flip,100.0,1000,-0.3318402631550063
func3C,1008,dial,flip,100.0,50,0.10678129195331296
func3C,1008,tpe_shared,own,-1,-1,-0.27367713107747343
func3C,1009,dial,keep,0.0,1000,-0.7221356973917387
func3C,1009,dial,keep,0.0,50,-0.7221309689860097
func3C,1009,dial,keep,1.0,1000,-0.7213412769655847
func3C,1009,dial,keep,1.0,50,-0.7215344475377856
func3C,1009,dial,keep,3.0,1000,-0.7220288125838895
func3C,1009,dial,keep,3.0,50,-0.6657952611518163
func3C,1009,dial,keep,10.0,1000,-0.5035516173895418
func3C,1009,dial,keep,10.0,50,-0.43347397109410357
func3C,1009,dial,keep,30.0,1000,-0.15530155459023204
func3C,1009,dial,keep,30.0,50,-0.014640142673120637
func3C,1009,dial,keep,100.0,1000,0.0037567356783016503
func3C,1009,dial,keep,100.0,50,0.0036650673860351064
func3C,1009,dial,flip,0.0,1000,-0.7203011242061792
func3C,1009,dial,flip,0.0,50,-0.7186877064858463
func3C,1009,dial,flip,1.0,1000,-0.6422562090661211
func3C,1009,dial,flip,1.0,50,-0.5476299362110333
func3C,1009,dial,flip,3.0,1000,-0.5516955064866361
func3C,1009,dial,flip,3.0,50,-0.06801725534124348
func3C,1009,dial,flip,10.0,1000,-0.13061085807532985
func3C,1009,dial,flip,10.0,50,-0.0977949069975746
func3C,1009,dial,flip,30.0,1000,0.05405792097404434
func3C,1009,dial,flip,30.0,50,-0.42999658760478676
func3C,1009,dial,flip,100.0,1000,-0.028776972075694733
func3C,1009,dial,flip,100.0,50,-0.4491528700488349
func3C,1009,tpe_shared,own,-1,-1,-0.6024240184595528
func3C,1010,dial,keep,0.0,1000,-0.7221395284704821
func3C,1010,dial,keep,0.0,50,-0.7220545167592066
func3C,1010,dial,keep,1.0,1000,-0.7218562607918535
func3C,1010,dial,keep,1.0,50,-0.7219528569940505
func3C,1010,dial,keep,3.0,1000,-0.7205568782072912
func3C,1010,dial,keep,3.0,50,-0.6193683106935792
func3C,1010,dial,keep,10.0,1000,-0.3389152863579864
func3C,1010,dial,keep,10.0,50,-0.7218637261522387
func3C,1010,dial,keep,30.0,1000,-0.06864375154381083
func3C,1010,dial,keep,30.0,50,-0.34209196364186994
func3C,1010,dial,keep,100.0,1000,0.0784793988853501
func3C,1010,dial,keep,100.0,50,-0.6939726145633927
func3C,1010,dial,flip,0.0,1000,-0.6983348433212806
func3C,1010,dial,flip,0.0,50,-0.5924936507281173
func3C,1010,dial,flip,1.0,1000,-0.6368221363179739
func3C,1010,dial,flip,1.0,50,-0.6959299002435638
func3C,1010,dial,flip,3.0,1000,-0.47636981905642045
func3C,1010,dial,flip,3.0,50,-0.6387506364065005
func3C,1010,dial,flip,10.0,1000,-0.7200290544019684
func3C,1010,dial,flip,10.0,50,-0.12023801538163006
func3C,1010,dial,flip,30.0,1000,0.05314934521878912
func3C,1010,dial,flip,30.0,50,-0.02403600311135507
func3C,1010,dial,flip,100.0,1000,-0.027034982797780063
func3C,1010,dial,flip,100.0,50,0.03347413178281804
func3C,1010,tpe_shared,own,-1,-1,-0.4296969030604193
func3C,1011,dial,keep,0.0,1000,-0.7221392965406552
func3C,1011,dial,keep,0.0,50,-0.7221260114478976
func3C,1011,dial,keep,1.0,1000,-0.7219482837829476
func3C,1011,dial,keep,1.0,50,-0.6948354481471839
func3C,1011,dial,keep,3.0,1000,-0.4283849884751871
func3C,1011,dial,keep,3.0,50,-0.3854645242821233
func3C,1011,dial,keep,10.0,1000,-0.42642770298989313
func3C,1011,dial,keep,10.0,50,-0.30504295437053125
func3C,1011,dial,keep,30.0,1000,-0.6603052623763027
func3C,1011,dial,keep,30.0,50,-0.29310652836158657
func3C,1011,dial,keep,100.0,1000,0.04412513825637111
func3C,1011,dial,keep,100.0,50,0.0572929571715189
func3C,1011,dial,flip,0.0,1000,-0.718308606231167
func3C,1011,dial,flip,0.0,50,-0.7110351029230384
func3C,1011,dial,flip,1.0,1000,-0.7101393889827069
func3C,1011,dial,flip,1.0,50,-0.4620895573564897
func3C,1011,dial,flip,3.0,1000,-0.5039134686911579
func3C,1011,dial,flip,3.0,50,-0.27146539756637855
func3C,1011,dial,flip,10.0,1000,0.009884929075319099
func3C,1011,dial,flip,10.0,50,-0.2645246281645831
func3C,1011,dial,flip,30.0,1000,0.05518595914833922
func3C,1011,dial,flip,30.0,50,-0.17649683368432556
func3C,1011,dial,flip,100.0,1000,-0.36824744259995085
func3C,1011,dial,flip,100.0,50,0.20289104416834275
func3C,1011,tpe_shared,own,-1,-1,0.05289776008456573
func3C,1012,dial,keep,0.0,1000,-0.7221397730762974
func3C,1012,dial,keep,0.0,50,-0.7221132882730068
func3C,1012,dial,keep,1.0,1000,-0.7214308267873366
func3C,1012,dial,keep,1.0,50,-0.7204115680372543
func3C,1012,dial,keep,3.0,1000,-0.7187029572384208
func3C,1012,dial,keep,3.0,50,-0.6292927474047705
func3C,1012,dial,keep,10.0,1000,-0.4351508127144624
func3C,1012,dial,keep,10.0,50,-0.5931876422688078
func3C,1012,dial,keep,30.0,1000,0.04187531629997494
func3C,1012,dial,keep,30.0,50,0.15067619859871623
func3C,1012,dial,keep,100.0,1000,-0.5852861810624181
func3C,1012,dial,keep,100.0,50,0.041884469120276754
func3C,1012,dial,flip,0.0,1000,-0.6944847399364233
func3C,1012,dial,flip,0.0,50,-0.7040657280874582
func3C,1012,dial,flip,1.0,1000,-0.6991575537153775
func3C,1012,dial,flip,1.0,50,-0.374336100484781
func3C,1012,dial,flip,3.0,1000,-0.6147376273884715
func3C,1012,dial,flip,3.0,50,-0.2630611993947601
func3C,1012,dial,flip,10.0,1000,-0.04534355260002548
func3C,1012,dial,flip,10.0,50,0.026094101389416154
func3C,1012,dial,flip,30.0,1000,0.08187911331166048
func3C,1012,dial,flip,30.0,50,-0.456995825219231
func3C,1012,dial,flip,100.0,1000,0.04308717914948268
func3C,1012,dial,flip,100.0,50,-0.3757887103204625
func3C,1012,tpe_shared,own,-1,-1,0.0542625992879103
func3C,1013,dial,keep,0.0,1000,-0.7221388592520773
func3C,1013,dial,keep,0.0,50,-0.7221062931436768
func3C,1013,dial,keep,1.0,1000,-0.7209981362361888
func3C,1013,dial,keep,1.0,50,-0.7218584015257503
func3C,1013,dial,keep,3.0,1000,-0.4245153183538931
func3C,1013,dial,keep,3.0,50,0.05234316216973667
func3C,1013,dial,keep,10.0,1000,0.022126814962567132
func3C,1013,dial,keep,10.0,50,-0.09343470934291315
func3C,1013,dial,keep,30.0,1000,0.019695050334029074
func3C,1013,dial,keep,30.0,50,0.04187076923463178
func3C,1013,dial,keep,100.0,1000,-0.27767326422875654
func3C,1013,dial,keep,100.0,50,-0.6966714214808549
func3C,1013,dial,flip,0.0,1000,-0.6920475344875607
func3C,1013,dial,flip,0.0,50,-0.6864269483496825
func3C,1013,dial,flip,1.0,1000,-0.6765271507395039
func3C,1013,dial,flip,1.0,50,-0.4432225144100816
func3C,1013,dial,flip,3.0,1000,-0.650763179118538
func3C,1013,dial,flip,3.0,50,-0.29034249403178847
func3C,1013,dial,flip,10.0,1000,-0.4341153425174056
func3C,1013,dial,flip,10.0,50,-0.46278020309048074
func3C,1013,dial,flip,30.0,1000,-0.6531661314949495
func3C,1013,dial,flip,30.0,50,-0.33348064992464255
