seed,iter,method,best
1001,0,BASS-BO,0.2679031769423351
1001,1,BASS-BO,0.2679031769423351
1001,2,BASS-BO,0.2679031769423351
1001,3,BASS-BO,0.2679031769423351
1001,4,BASS-BO,0.2679031769423351
1001,5,BASS-BO,0.2679031769423351
1001,6,BASS-BO,0.2679031769423351
1001,7,BASS-BO,0.2679031769423351
1001,8,BASS-BO,0.2679031769423351
1001,9,BASS-BO,0.2679031769423351
1001,10,BASS-BO,0.2679031769423351
1001,11,BASS-BO,0.2679031769423351
1001,12,BASS-BO,0.2679031769423351
1001,13,BASS-BO,0.2679031769423351
1001,14,BASS-BO,0.2679031769423351
1001,15,BASS-BO,0.2679031769423351
1001,16,BASS-BO,0.2679031769423351
1001,17,BASS-BO,0.2679031769423351
1001,18,BASS-BO,0.2679031769423351
1001,19,BASS-BO,0.2679031769423351
1001,20,BASS-BO,0.2679031769423351
1001,21,BASS-BO,0.2679031769423351
1001,22,BASS-BO,0.2679031769423351
1001,23,BASS-BO,0.2679031769423351
1001,24,BASS-BO,0.2679031769423351
1001,25,BASS-BO,0.2679031769423351
1001,26,BASS-BO,0.2679031769423351
1001,27,BASS-BO,0.2679031769423351
1001,28,BASS-BO,0.2679031769423351
1001,29,BASS-BO,0.2679031769423351
1001,30,BASS-BO,0.2679031769423351
1001,31,BASS-BO,0.2679031769423351
1001,32,BASS-BO,0.14190171251125003
1001,33,BASS-BO,0.14190171251125003
1001,34,BASS-BO,0.14190171251125003
1001,35,BASS-BO,0.14190171251125003
1001,36,BASS-BO,0.14190171251125003
1001,37,BASS-BO,0.14190171251125003
1001,38,BASS-BO,0.14190171251125003
1001,39,BASS-BO,0.14190171251125003
1001,40,BASS-BO,0.14190171251125003
1001,41,BASS-BO,0.10501321142396726
1001,42,BASS-BO,0.10501321142396726
1001,43,BASS-BO,0.10501321142396726
1001,44,BASS-BO,-0.15686634461116497
1001,45,BASS-BO,-0.15686634461116497
1001,46,BASS-BO,-0.15686634461116497
1001,47,BASS-BO,-0.15686634461116497
1001,48,BASS-BO,-0.15686634461116497
1001,49,BASS-BO,-0.15686634461116497
1001,50,BASS-BO,-0.15686634461116497
1001,51,BASS-BO,-0.15686634461116497
1001,52,BASS-BO,-0.15686634461116497
1001,53,BASS-BO,-0.15686634461116497
1001,54,BASS-BO,-0.15686634461116497
1001,55,BASS-BO,-0.15686634461116497
1001,56,BASS-BO,-0.15686634461116497
1001,57,BASS-BO,-0.15686634461116497
1001,58,BASS-BO,-0.15686634461116497
1001,59,BASS-BO,-0.15686634461116497
1001,60,BASS-BO,-0.15686634461116497
1001,61,BASS-BO,-0.15686634461116497
1001,62,BASS-BO,-0.15686634461116497
1001,63,BASS-BO,-0.15686634461116497
1001,64,BASS-BO,-0.15686634461116497
1001,65,BASS-BO,-0.15686634461116497
1001,66,BASS-BO,-0.15686634461116497
1001,67,BASS-BO,-0.15686634461116497
1001,68,BASS-BO,-0.15686634461116497
1001,69,BASS-BO,-0.15686634461116497
1001,70,BASS-BO,-0.15686634461116497
1001,71,BASS-BO,-0.15686634461116497
1001,72,BASS-BO,-0.15686634461116497
1001,73,BASS-BO,-0.15686634461116497
1001,74,BASS-BO,-0.15686634461116497
1001,75,BASS-BO,-0.15686634461116497
1001,76,BASS-BO,-0.15686634461116497
1001,77,BASS-BO,-0.15686634461116497
1001,78,BASS-BO,-0.15686634461116497
1001,79,BASS-BO,-0.15686634461116497
1001,80,BASS-BO,-0.15686634461116497
1001,0,GP-BO,0.2679031769423351
1001,1,GP-BO,0.2679031769423351
1001,2,GP-BO,0.15417831852008557
1001,3,GP-BO,0.13131268483431802
1001,4,GP-BO,0.13131268483431802
1001,5,GP-BO,0.13131268483431802
1001,6,GP-BO,0.13131268483431802
1001,7,GP-BO,0.13131268483431802
1001,8,GP-BO,0.13131268483431802
1001,9,GP-BO,0.13131268483431802
1001,10,GP-BO,0.13131268483431802
1001,11,GP-BO,0.13131268483431802
1001,12,GP-BO,0.13131268483431802
1001,13,GP-BO,0.13131268483431802
1001,14,GP-BO,0.13131268483431802
1001,15,GP-BO,0.13131268483431802
1001,16,GP-BO,0.13131268483431802
1001,17,GP-BO,-0.06799810763402761
1001,18,GP-BO,-0.06799810763402761
1001,19,GP-BO,-0.06799810763402761
1001,20,GP-BO,-0.06799810763402761
1001,21,GP-BO,-0.06799810763402761
1001,22,GP-BO,-0.06799810763402761
1001,23,GP-BO,-0.15942938880276644
1001,24,GP-BO,-0.15942938880276644
1001,25,GP-BO,-0.15942938880276644
1001,26,GP-BO,-0.15942938880276644
1001,27,GP-BO,-0.15942938880276644
1001,28,GP-BO,-0.17151990221531196
1001,29,GP-BO,-0.1856312367059778
1001,30,GP-BO,-0.1856312367059778
1001,31,GP-BO,-0.1856312367059778
1001,32,GP-BO,-0.20123181305308666
1001,33,GP-BO,-0.20123181305308666
1001,34,GP-BO,-0.20123181305308666
1001,35,GP-BO,-0.20123181305308666
1001,36,GP-BO,-0.20123181305308666
1001,37,GP-BO,-0.20467666369474422
1001,38,GP-BO,-0.20467666369474422
1001,39,GP-BO,-0.20467666369474422
1001,40,GP-BO,-0.20467666369474422
1001,41,GP-BO,-0.20467666369474422
1001,42,GP-BO,-0.20467666369474422
1001,43,GP-BO,-0.20467666369474422
1001,44,GP-BO,-0.20467666369474422
1001,45,GP-BO,-0.20467666369474422
1001,46,GP-BO,-0.20467666369474422
1001,47,GP-BO,-0.20467666369474422
1001,48,GP-BO,-0.20467666369474422
1001,49,GP-BO,-0.20467666369474422
1001,50,GP-BO,-0.20467666369474422
1001,51,GP-BO,-0.20467666369474422
1001,52,GP-BO,-0.20467666369474422
1001,53,GP-BO,-0.20469931351194887
1001,54,GP-BO,-0.2057860507839701
1001,55,GP-BO,-0.2057860507839701
1001,56,GP-BO,-0.2057860507839701
1001,57,GP-BO,-0.2057860507839701
1001,58,GP-BO,-0.2057860507839701
1001,59,GP-BO,-0.2057860507839701
1001,60,GP-BO,-0.2057860507839701
1001,61,GP-BO,-0.2057860507839701
1001,62,GP-BO,-0.2057860507839701
1001,63,GP-BO,-0.2057860507839701
1001,64,GP-BO,-0.2057860507839701
1001,65,GP-BO,-0.2057860507839701
1001,66,GP-BO,-0.2057860507839701
1001,67,GP-BO,-0.2057860507839701
1001,68,GP-BO,-0.2057860507839701
1001,69,GP-BO,-0.2057860507839701
1001,70,GP-BO,-0.2057860507839701
1001,71,GP-BO,-0.2057860507839701
1001,72,GP-BO,-0.2058687493390276
1001,73,GP-BO,-0.2058687493390276
1001,74,GP-BO,-0.2058687493390276
1001,75,GP-BO,-0.2058687493390276
1001,76,GP-BO,-0.2058687493390276
1001,77,GP-BO,-0.2058687493390276
1001,78,GP-BO,-0.2058687493390276
1001,79,GP-BO,-0.2058687493390276
1001,80,GP-BO,-0.2058687493390276
1001,0,Random,0.2679031769423351
1001,1,Random,0.2679031769423351
1001,2,Random,0.2679031769423351
1001,3,Random,0.2679031769423351
1001,4,Random,0.2679031769423351
1001,5,Random,0.2679031769423351
1001,6,Random,0.2679031769423351
1001,7,Random,0.012086671176657479
1001,8,Random,0.012086671176657479
1001,9,Random,0.012086671176657479
1001,10,Random,0.012086671176657479
1001,11,Random,0.012086671176657479
1001,12,Random,0.012086671176657479
1001,13,Random,0.012086671176657479
1001,14,Random,0.012086671176657479
1001,15,Random,0.012086671176657479
1001,16,Random,0.012086671176657479
1001,17,Random,0.012086671176657479
1001,18,Random,0.012086671176657479
1001,19,Random,0.012086671176657479
1001,20,Random,0.012086671176657479
1001,21,Random,0.012086671176657479
1001,22,Random,0.012086671176657479
1001,23,Random,0.012086671176657479
1001,24,Random,0.012086671176657479
1001,25,Random,0.012086671176657479
1001,26,Random,0.012086671176657479
1001,27,Random,0.012086671176657479
1001,28,Random,0.012086671176657479
1001,29,Random,0.012086671176657479
1001,30,Random,0.012086671176657479
1001,31,Random,0.012086671176657479
1001,32,Random,0.012086671176657479
1001,33,Random,0.012086671176657479
1001,34,Random,0.012086671176657479
1001,35,Random,0.012086671176657479
1001,36,Random,0.012086671176657479
1001,37,Random,0.012086671176657479
1001,38,Random,0.012086671176657479
1001,39,Random,0.012086671176657479
1001,40,Random,0.012086671176657479
1001,41,Random,0.012086671176657479
1001,42,Random,0.012086671176657479
1001,43,Random,0.012086671176657479
1001,44,Random,0.012086671176657479
1001,45,Random,0.012086671176657479
1001,46,Random,0.012086671176657479
1001,47,Random,0.012086671176657479
1001,48,Random,0.012086671176657479
1001,49,Random,0.012086671176657479
1001,50,Random,0.012086671176657479
1001,51,Random,0.012086671176657479
1001,52,Random,0.012086671176657479
1001,53,Random,0.012086671176657479
1001,54,Random,0.012086671176657479
1001,55,Random,0.012086671176657479
1001,56,Random,0.012086671176657479
1001,57,Random,0.012086671176657479
1001,58,Random,0.012086671176657479
1001,59,Random,0.012086671176657479
1001,60,Random,0.012086671176657479
1001,61,Random,0.012086671176657479
1001,62,Random,0.012086671176657479
1001,63,Random,0.012086671176657479
1001,64,Random,0.012086671176657479
1001,65,Random,0.012086671176657479
1001,66,Random,0.012086671176657479
1001,67,Random,0.012086671176657479
1001,68,Random,0.00499085017189232
1001,69,Random,0.00499085017189232
1001,70,Random,0.00499085017189232
1001,71,Random,0.00499085017189232
1001,72,Random,0.00499085017189232
1001,73,Random,0.00499085017189232
1001,74,Random,0.00499085017189232
1001,75,Random,0.00499085017189232
1001,76,Random,0.00499085017189232
1001,77,Random,0.00499085017189232
1001,78,Random,0.00499085017189232
1001,79,Random,0.00499085017189232
1001,80,Random,0.00499085017189232
1002,0,BASS-BO,0.2287039202937121
1002,1,BASS-BO,0.2287039202937121
1002,2,BASS-BO,0.2287039202937121
1002,3,BASS-BO,0.2287039202937121
1002,4,BASS-BO,0.2287039202937121
1002,5,BASS-BO,0.2287039202937121
1002,6,BASS-BO,0.2287039202937121
1002,7,BASS-BO,0.2287039202937121
1002,8,BASS-BO,0.2287039202937121
1002,9,BASS-BO,0.099754942897043
1002,10,BASS-BO,0.099754942897043
1002,11,BASS-BO,0.099754942897043
1002,12,BASS-BO,0.099754942897043
1002,13,BASS-BO,0.099754942897043
1002,14,BASS-BO,0.099754942897043
1002,15,BASS-BO,0.099754942897043
1002,16,BASS-BO,0.099754942897043
1002,17,BASS-BO,0.06417674682172272
1002,18,BASS-BO,0.06417674682172272
1002,19,BASS-BO,0.06417674682172272
1002,20,BASS-BO,0.06417674682172272
1002,21,BASS-BO,0.06417674682172272
1002,22,BASS-BO,0.06417674682172272
1002,23,BASS-BO,0.06417674682172272
1002,24,BASS-BO,0.06417674682172272
1002,25,BASS-BO,0.06417674682172272
1002,26,BASS-BO,0.06417674682172272
1002,27,BASS-BO,0.06417674682172272
1002,28,BASS-BO,0.06417674682172272
1002,29,BASS-BO,0.06417674682172272
1002,30,BASS-BO,0.06417674682172272
1002,31,BASS-BO,0.06417674682172272
1002,32,BASS-BO,0.06417674682172272
1002,33,BASS-BO,0.06417674682172272
1002,34,BASS-BO,0.06417674682172272
1002,35,BASS-BO,0.06417674682172272
1002,36,BASS-BO,0.06417674682172272
1002,37,BASS-BO,0.06417674682172272
1002,38,BASS-BO,0.06417674682172272
1002,39,BASS-BO,0.06417674682172272
1002,40,BASS-BO,0.06417674682172272
1002,41,BASS-BO,0.06417674682172272
1002,42,BASS-BO,0.06417674682172272
1002,43,BASS-BO,0.06417674682172272
1002,44,BASS-BO,0.06417674682172272
1002,45,BASS-BO,0.06417674682172272
1002,46,BASS-BO,0.06417674682172272
1002,47,BASS-BO,0.06417674682172272
1002,48,BASS-BO,0.06417674682172272
1002,49,BASS-BO,0.06417674682172272
1002,50,BASS-BO,0.04916513170528034
1002,51,BASS-BO,0.04916513170528034
1002,52,BASS-BO,0.04916513170528034
1002,53,BASS-BO,0.04916513170528034
1002,54,BASS-BO,0.04916513170528034
1002,55,BASS-BO,0.04916513170528034
1002,56,BASS-BO,0.04916513170528034
1002,57,BASS-BO,0.04916513170528034
1002,58,BASS-BO,0.04916513170528034
1002,59,BASS-BO,0.04916513170528034
1002,60,BASS-BO,0.04916513170528034
1002,61,BASS-BO,0.04916513170528034
1002,62,BASS-BO,0.04916513170528034
1002,63,BASS-BO,0.04916513170528034
1002,64,BASS-BO,0.04916513170528034
1002,65,BASS-BO,0.04916513170528034
1002,66,BASS-BO,0.04916513170528034
1002,67,BASS-BO,0.04916513170528034
1002,68,BASS-BO,0.04916513170528034
1002,69,BASS-BO,0.04916513170528034
1002,70,BASS-BO,0.04916513170528034
1002,71,BASS-BO,0.04916513170528034
1002,72,BASS-BO,0.04916513170528034
1002,73,BASS-BO,0.04916513170528034
1002,74,BASS-BO,0.04916513170528034
1002,75,BASS-BO,0.04916513170528034
1002,76,BASS-BO,0.04916513170528034
1002,77,BASS-BO,0.04916513170528034
1002,78,BASS-BO,0.04916513170528034
1002,79,BASS-BO,0.04916513170528034
1002,80,BASS-BO,0.04916513170528034
1002,0,GP-BO,0.2287039202937121
1002,1,GP-BO,0.2287039202937121
1002,2,GP-BO,0.2287039202937121
1002,3,GP-BO,0.2287039202937121
1002,4,GP-BO,0.22120355119670973
1002,5,GP-BO,0.1398882320896993
1002,6,GP-BO,0.1398882320896993
1002,7,GP-BO,0.1398882320896993
1002,8,GP-BO,0.1398882320896993
1002,9,GP-BO,-0.01434603974827292
1002,10,GP-BO,-0.01434603974827292
1002,11,GP-BO,-0.01434603974827292
1002,12,GP-BO,-0.01434603974827292
1002,13,GP-BO,-0.022152558747813012
1002,14,GP-BO,-0.022152558747813012
1002,15,GP-BO,-0.022152558747813012
1002,16,GP-BO,-0.022152558747813012
1002,17,GP-BO,-0.022152558747813012
1002,18,GP-BO,-0.022152558747813012
1002,19,GP-BO,-0.022152558747813012
1002,20,GP-BO,-0.022152558747813012
1002,21,GP-BO,-0.022152558747813012
1002,22,GP-BO,-0.022152558747813012
1002,23,GP-BO,-0.022152558747813012
1002,24,GP-BO,-0.022152558747813012
1002,25,GP-BO,-0.022152558747813012
1002,26,GP-BO,-0.022152558747813012
1002,27,GP-BO,-0.022152558747813012
1002,28,GP-BO,-0.022152558747813012
1002,29,GP-BO,-0.022152558747813012
1002,30,GP-BO,-0.022152558747813012
1002,31,GP-BO,-0.022152558747813012
1002,32,GP-BO,-0.022152558747813012
1002,33,GP-BO,-0.022152558747813012
1002,34,GP-BO,-0.022152558747813012
1002,35,GP-BO,-0.022152558747813012
1002,36,GP-BO,-0.022152558747813012
1002,37,GP-BO,-0.022152558747813012
1002,38,GP-BO,-0.022152558747813012
1002,39,GP-BO,-0.022152558747813012
1002,40,GP-BO,-0.022152558747813012
1002,41,GP-BO,-0.022152558747813012
1002,42,GP-BO,-0.022152558747813012
1002,43,GP-BO,-0.022152558747813012
1002,44,GP-BO,-0.022152558747813012
1002,45,GP-BO,-0.050206073295977
1002,46,GP-BO,-0.050206073295977
1002,47,GP-BO,-0.050206073295977
1002,48,GP-BO,-0.050206073295977
1002,49,GP-BO,-0.08180686109692141
1002,50,GP-BO,-0.08180686109692141
1002,51,GP-BO,-0.08180686109692141
1002,52,GP-BO,-0.08180686109692141
1002,53,GP-BO,-0.08180686109692141
1002,54,GP-BO,-0.08180686109692141
1002,55,GP-BO,-0.08180686109692141
1002,56,GP-BO,-0.08180686109692141
