method,baseline,n_seeds,wins,ties,losses,median_final,median_baseline,p_wilcoxon
GP-BO,Random,25,20,1,4,-0.1443905215492205,-2.2781227269058553e-4,5.176970388994486e-4
TPE,Random,25,18,1,6,-0.14517133941666754,-2.2781227269058553e-4,0.0053409925250672095
BASS-BO,Random,25,5,2,18,0.02574938585972474,-2.2781227269058553e-4,0.04311498306727257
