method,mean_final,sd_final
GP-BO,-0.12158603721826236,0.07748785468771723
TPE,-0.09718996869346598,0.10694960315042791
Random,-0.02831017597452186,0.06464596745166018
BASS-BO,0.0025050496655503055,0.06742764514044021
