method,baseline,n_seeds,wins,ties,losses,median_final,median_baseline,p_wilcoxon
GP-BO,Random,25,23,0,2,-0.4237804055027156,-0.007508978458201421,5.4361701407455354e-5
TPE,Random,25,19,1,5,-0.36760497066412795,-0.007508978458201421,7.099325733396098e-4
BASS-BO,Random,25,8,3,14,0.05876027355610976,-0.007508978458201421,0.047658076253298765
