method,mean_final,sd_final
GP-BO,-0.4751790186087494,0.20496308096272436
TPE,-0.37233695321660965,0.278691325104109
Random,-0.06657223172522017,0.17311005838126772
BASS-BO,0.002176432788569015,0.1611228713405375
