method,mean_final,sd_final
GP-BO,11.990384931694004,4.563680780934669
BASS-BO,12.143184066998653,3.3280636650202964
TPE (gamma=0.25),15.67399019259586,2.2355158363460466
TPE (gamma=0.10),16.707358634112815,1.6513085985579228
Random,18.650492770383703,1.0448784725402986
TPE (gamma=0.50),19.17686529965657,1.4299966707451532
TPE (gamma=0.75),19.797300177501405,0.9374439634194675
