method,baseline,n_seeds,wins,ties,losses,median_final,median_baseline,p_wilcoxon
BASS-BO,Random,25,25,0,0,11.912462395827191,18.81640060080548,1.30588312467228e-5
GP-BO,Random,25,24,0,1,13.238353559021833,18.81640060080548,1.4762082417917108e-5
TPE (gamma=0.25),Random,25,24,0,1,15.954600838478788,18.81640060080548,1.669058871854381e-5
TPE (gamma=0.10),Random,25,22,0,3,16.873669089136243,18.81640060080548,7.637634106966801e-5
TPE (gamma=0.50),Random,25,7,0,18,19.597817268585498,18.81640060080548,0.13186524780936493
TPE (gamma=0.75),Random,25,6,0,19,19.752826803001934,18.81640060080548,0.001498284524789506
