method,baseline,n_seeds,wins,ties,losses,median_final,median_baseline,p_wilcoxon
GP-BO,Random,25,25,0,0,0.3979826348961879,0.8934343049168749,1.3070605478013068e-5
BASS-BO,Random,25,23,0,2,0.43647864920169077,0.8934343049168749,4.316511596137683e-5
TPE (gamma=0.25),Random,25,22,0,3,0.431117634868146,0.8934343049168749,6.982359291750456e-4
TPE (gamma=0.10),Random,25,21,0,4,0.4816972370628303,0.8934343049168749,2.807613924458238e-4
TPE (gamma=0.50),Random,25,9,0,16,1.0298418574635502,0.8934343049168749,0.09004973040401199
TPE (gamma=0.75),Random,25,4,0,21,3.4413597649661467,0.8934343049168749,4.237939280862246e-4
