method,mean_final,sd_final
GP-BO,0.39815009223850145,3.866569517134538e-4
BASS-BO,0.4702066548371802,0.08807496614192853
TPE (gamma=0.10),0.49448570743201314,0.07708668251369326
TPE (gamma=0.25),0.5290248526779812,0.39083567651084267
Random,1.0883439702150641,0.8148274272829893
TPE (gamma=0.50),2.3427729922537917,2.729242038128601
TPE (gamma=0.75),4.549808436247404,4.249476167531865
